Vocab,Pinyin,Meaning
路上,lù shang,on the road; on a journey; road surface
路线,lù xiàn,itinerary; route; political line (e.g. right revisionist road)
露,Lù,surname Lu
旅行,lǚ xíng,to travel; journey; trip
旅游,lǚ yóu,trip; journey; tourism; travel; tour; to travel
律师,lǜ shī,lawyer
率,lǜ,rate; frequency
绿,lǜ,green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend)
绿色,lǜ sè,green
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
轮,lún,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn"
罗,Luó,surname Luo
落,là,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind
落后,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress
妈,mā,ma; mom; mother
妈妈,mā ma,mama; mommy; mother
麻烦,má fan,trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble
马,Mǎ,surname Ma; abbr. for Malaysia 马来西亚
马上,mǎ shàng,at once; right away; immediately; on horseback (i.e. by military force)
码,mǎ,"weight; number; code; to pile; to stack; classifier for length or distance (yard), happenings etc"
骂,mà,to scold; to abuse; to curse
吗,má,(coll.) what?
嘛,má,used in 吽; (Tw) (coll.) what?
埋,mái,to bury
买,mǎi,to buy; to purchase
买卖,mǎi mài,buying and selling; business; business transactions
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt
蛮,mán,barbarian; bullying; very; quite; rough; reckless
满,Mǎn,Manchu ethnic group
满意,mǎn yì,satisfied; pleased; to one's satisfaction
满足,mǎn zú,to satisfy; to meet (the needs of); satisfied; content
慢,màn,slow
慢慢,màn màn,slowly
忙,máng,busy; hurriedly; to hurry; to rush
猫,māo,cat; (dialect) to hide oneself; (coll.) modem
毛,Máo,surname Mao
矛盾,máo dùn,contradiction; conflicting views; contradictory
冒,mào,old variant of 冒
冒险,mào xiǎn,to take risks; to take chances; foray; adventure
帽子,mào zi,hat; cap; (fig.) label; bad name
没,méi,(negative prefix for verbs) have not; not
没关系,méi guān xi,it doesn't matter
没什么,méi shén me,nothing; it doesn't matter; it's nothing; never mind
没有,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be
枚,Méi,surname Mei
玫瑰,méi guī,rugosa rose (shrub) (Rosa rugosa); rose flower
媒体,méi tǐ,"media, esp. news media"
每,měi,each; every
美,Měi,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国)
美好,měi hǎo,beautiful; fine
美丽,měi lì,beautiful
美女,měi nǚ,beautiful woman
美元,Měi yuán,American dollar; US dollar
妹,mèi,younger sister
妹妹,mèi mei,younger sister; young woman
魅力,mèi lì,charm; fascination; glamor; charisma
门,Mén,surname Men
门口,mén kǒu,doorway; gate
们,men,"plural marker for pronouns, and nouns referring to individuals"
蒙,méng,drizzle; mist
猛,měng,ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome
梦,mèng,dream; (bound form) to dream
梦想,mèng xiǎng,(fig.) to dream of; dream
迷,mí,to bewilder; crazy about; fan; enthusiast; lost; confused
米,Mǐ,surname Mi
秘密,mì mì,secret; private; confidential; clandestine; a secret
密,Mì,surname Mi; name of an ancient state
密码,mì mǎ,cipher; secret code; password; PIN
免,miǎn,to excuse sb; to exempt; to remove or dismiss from office; to avoid; to avert; to escape; to be prohibited
免费,miǎn fèi,free (of charge)
面,miàn,"face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc"
面对,miàn duì,to face; to confront
面临,miàn lín,to face sth; to be confronted with
面前,miàn qián,in front of; facing; (in the) presence (of)
描述,miáo shù,to describe; description
秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly
民主,mín zhǔ,democracy
民族,mín zú,nationality; ethnic group
敏感,mǐn gǎn,sensitive; susceptible
名,míng,name; noun (part of speech); place (e.g. among winners); famous; classifier for people
名单,míng dān,list of names
名人,míng rén,personage; celebrity
名字,míng zi,name (of a person or thing)
明白,míng bai,clear; obvious; unequivocal; to understand; to realize
明明,míng míng,obviously; plainly; undoubtedly; definitely
明年,míng nián,next year
明确,míng què,clear-cut; definite; explicit; to clarify; to specify; to make definite
明天,míng tiān,tomorrow
明显,míng xiǎn,clear; distinct; obvious
明星,míng xīng,star; celebrity
命,mìng,"life; fate; order or command; to assign a name, title etc"
命令,mìng lìng,order; command
命运,mìng yùn,fate; destiny
摸,mō,to feel with the hand; to touch; to stroke; to grope; to steal; to abstract
模式,mó shì,mode; method; pattern
模型,mó xíng,model; mold; matrix; pattern
末,mò,tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man
某,mǒu,some; a certain; sb or sth indefinite; such-and-such
母,mǔ,mother; elderly female relative; origin; source; (of animals) female
母亲,mǔ qīn,mother; also pr. [mǔ qin]
目标,mù biāo,target; goal; objective
目的,mù dì,purpose; aim; goal; target; objective
目前,mù qián,at the present time; currently
幕,mù,curtain or screen; canopy or tent; headquarters of a general; act (of a play)
嗯,ēn,(a groaning sound)
拿,ná,old variant of 拿
哪,nǎ,how; which
哪儿,nǎ r,where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?
哪里,nǎ lǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里
哪些,nǎ xiē,which ones?; who?; what?
那,Nā,surname Na
那边,nà bian,over there; yonder
那儿,nà r,there
那里,nà li,there; that place
那么,nà me,like that; in that way; or so; so; so very much; about; in that case
那时,nà shí,then; at that time; in those days
那些,nà xiē,those
那样,nà yàng,that kind; that sort
奶,nǎi,breast; milk; to breastfeed
奶奶,nǎi nai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts
耐心,nài xīn,to be patient; patience
男,nán,"male; Baron, lowest of five orders of nobility 位"
男朋友,nán péng you,boyfriend
男人,nán rén,a man; a male; men
男生,nán shēng,schoolboy; male student; boy; guy (young adult male)
男性,nán xìng,the male sex; a male
男子,nán zǐ,a man; a male
南,Nán,surname Nan
南方,nán fāng,south; the southern part of the country; the South
难,nán,difficult (to...); problem; difficulty; difficult; not good
难道,nán dào,don't tell me ...; could it be that...?
难过,nán guò,to feel sad; to feel unwell; (of life) to be difficult
难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear
难以,nán yǐ,"hard to (predict, imagine etc)"
脑袋,nǎo dai,head; skull; brains; mental capability
脑子,nǎo zi,brains; mind
闹,nào,variant of 闹
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation"
内,nèi,inside; inner; internal; within; interior
内部,nèi bù,"interior; inside (part, section); internal"
内容,nèi róng,content; substance; details
内心,nèi xīn,heart; innermost being; (math.) incenter
能,Néng,surname Neng
能不能,néng bùnéng,Can you
能否,néng fǒu,whether or not; can it or can't it; is it possible?
能够,néng gòu,to be capable of; to be able to; can
能力,néng lì,capability; ability
能量,néng liàng,energy; capabilities
能源,néng yuán,energy; power source
你,nǐ,"you (informal, as opposed to courteous 您)"
你们,nǐ men,you (plural)
年,Nián,surname Nian
年代,nián dài,a decade of a century (e.g. the Sixties); age; era; period
年度,nián dù,"year (e.g. school year, fiscal year); annual"
年纪,nián jì,age
年龄,nián líng,(a person's) age
年轻,nián qīng,young
念,niàn,"variant of 念, to read aloud"
娘,niáng,mother; young lady; (coll.) effeminate
鸟,diǎo,variant of 屌; penis
尿,niào,to urinate; urine
您,nín,"you (courteous, as opposed to informal 你)"
牛,Niú,surname Niu
牛奶,niú nǎi,cow's milk
农民,nóng mín,peasant; farmer
弄,lòng,lane; alley
努力,nǔ lì,to make an effort; to try hard; to strive; hard-working; conscientious
女,nǚ,female; woman; daughter
女儿,nǚ ér,daughter
女朋友,nǚ péng you,girlfriend
女人,nǚ rén,woman
女生,nǚ shēng,schoolgirl; female student; girl
女士,nǚ shì,lady; madam; Miss; Ms
女性,nǚ xìng,woman; the female sex
女子,nǚ zǐ,woman; female
暖,nuǎn,old variant of 暖
哦,é,to chant
欧洲,Oū zhōu,Europe (abbr. for 欧罗巴洲)
偶尔,ǒu ěr,occasionally; once in a while; sometimes
偶像,ǒu xiàng,idol
爬,pá,to crawl; to climb; to get up or sit up
怕,Pà,surname Pa
拍,pāi,to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music)
拍摄,pāi shè,to take (a picture); to shoot (a film)
拍照,pāi zhào,to take a picture
排,pái,"a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc"
排除,pái chú,to eliminate; to remove; to exclude; to rule out
牌,pái,mahjong tile; playing card; game pieces; signboard; plate; tablet; medal
派,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie
盘,pán,"plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess"
判,pàn,to judge; to sentence; to discriminate; to discern; clearly distinguishable
判断,pàn duàn,to judge; to determine; judgment
判决,pàn jué,judgment (by a court of law); to pass judgment on; to sentence
旁,páng,"one side; other; different; lateral component of a Chinese character (such as 刂, 亻 etc)"
旁边,páng biān,side; adjacent place
胖,pán,healthy; at ease
抛,pāo,to throw; to toss; to fling; to cast; to abandon
跑,páo,(of an animal) to paw (the ground)
泡,pāo,puffed; swollen; spongy; small lake (esp. in place names); classifier for urine or feces
陪,péi,to accompany; to keep sb company; to assist; old variant of 赔
培训,péi xùn,to cultivate; to train; to groom; training
培养,péi yǎng,to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology)
赔偿,péi cháng,to compensate
配,pèi,to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate
配合,pèi hé,matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine
喷,pēn,to puff; to spout; to spray; to spurt
朋友,péng you,friend
碰,pèng,variant of 碰
碰到,pèng dào,to come across; to run into; to meet; to hit
批,pī,"to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)"
批评,pī píng,to criticize; criticism
批准,pī zhǔn,to approve; to ratify
皮,Pí,surname Pi
皮肤,pí fū,skin
啤酒,pí jiǔ,beer (loanword)
匹,pī,mate; one of a pair
屁股,pì gu,buttocks; bottom; butt; back part
偏,piān,to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations
篇,piān,"sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article"
片,piān,disk; sheet
骗,piàn,to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over
票,piào,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions"
漂亮,piào liang,pretty; beautiful
拼,pīn,to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell
频道,pín dào,frequency; (television) channel
品,pǐn,(bound form) article; commodity; product; goods; (bound form) grade; rank; kind; type; variety; character; disposition; nature; temperament; to taste sth; to sample; to criticize; to comment; to judge; to size up; fret (on a guitar or lute)
品牌,pǐn pái,brand name; trademark
平,Píng,surname Ping
平安,píng ān,safe and sound; well; without mishap; quiet and safe; at peace
平衡,píng héng,balance; equilibrium
平静,píng jìng,tranquil; undisturbed; serene
平均,píng jūn,average; on average; evenly; in equal proportions
平时,píng shí,ordinarily; in normal times; in peacetime
评估,píng gū,to evaluate; to assess; assessment; evaluation
评价,píng jià,to evaluate; to assess
评论,píng lùn,to comment on; to discuss; comment; commentary
评委,píng wěi,evaluation committee; judging panel; judging panel member; adjudicator (abbr. for 评选委员会委员)
凭,píng,variant of 凭
苹果,píng guǒ,apple
屏幕,píng mù,"screen (TV, computer or movie)"
瓶,píng,bottle; vase; pitcher; classifier for wine and liquids
破,pò,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of"
破坏,pò huài,destruction; damage; to wreck; to break; to destroy
普通,pǔ tōng,common; ordinary; general; average
七,qī,seven; 7
妻子,qī zǐ,wife and children
期,qī,variant of 期; period; cycle
期待,qī dài,to look forward to; to await; expectation
期间,qī jiān,period of time; time; time period; period
期望,qī wàng,to have expectations; to earnestly hope; expectation; hope
齐,Qí,(name of states and dynasties at several different periods); surname Qi
其,qí,his; her; its; their; that; such; it (refers to sth preceding it)
其次,qí cì,next; secondly
其实,qí shí,actually; in fact; really
其他,qí tā,other; (sth or sb) else; the rest
其中,qí zhōng,among; in; included among these
奇怪,qí guài,strange; odd; to marvel; to be baffled
奇迹,qí jì,miracle; miraculous; wonder; marvel
骑,jì,(Tw) saddle horse; mounted soldier
企业,qǐ yè,company; firm; enterprise; corporation
启动,qǐ dòng,to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan)
起,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group"
起床,qǐ chuáng,to get out of bed; to get up
起来,qǐ lai,to stand up; to get up; also pr. [qǐ lái]
起诉,qǐ sù,to sue; to bring a lawsuit against; to prosecute
气,qì,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi
气氛,qì fēn,atmosphere; mood
汽车,qì chē,car; automobile; bus
千,qiān,thousand
千万,qiān wàn,ten million; countless; many; one must by all means
牵,qiān,to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in
签,qiān,to sign one's name; to write brief comments on a document; inscribed bamboo stick (variant of 签); visa
签名,qiān míng,to sign (one's name with a pen etc); to autograph; signature
前,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly
前进,qián jìn,to go forward; to forge ahead; to advance; onward
前面,qián miàn,ahead; in front; preceding; above; also pr. [qián mian]
前往,qián wǎng,to leave for; to proceed towards; to go to
钱,Qián,surname Qian
潜力,qián lì,potential; capacity
欠,qiàn,to owe; to lack; (literary) to be deficient in; (bound form) yawn; to raise slightly (a part of one's body)
枪,Qiāng,surname Qiang
强,Qiáng,surname Qiang
强大,qiáng dà,large; formidable; powerful; strong
强调,qiáng diào,to emphasize (a statement); to stress
强烈,qiáng liè,strong; intense
墙,qiáng,"variant of 墙, wall"
抢,qiāng,(literary) to knock against (esp. to knock one's head on the ground in grief or rage); opposite in direction; contrary
抢劫,qiǎng jié,to rob; looting
桥,qiáo,bridge
瞧,qiáo,to look at; to see; to see (a doctor); to visit
巧克力,qiǎo kè lì,chocolate (loanword)
且,qiě,and; moreover; yet; for the time being; to be about to; both (... and...)
切,qiē,to cut; to slice; to carve; (math) tangential
亲,qīn,parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (Internet slang) dear
亲爱,qīn ài,dear; beloved; darling
亲自,qīn zì,personally; in person; oneself
青,Qīng,"abbr. for 海, Qinghai Province"
青年,qīng nián,youth; youthful years; young person; the young
轻,qīng,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage
轻松,qīng sōng,light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously
轻易,qīng yì,easily; lightly; rashly
倾向,qīng xiàng,trend; tendency; orientation
清,Qīng,Qing (Wade-Giles: Ch'ing) dynasty of imperial China (1644-1911); surname Qing
清楚,qīng chu,clear; distinct; to understand thoroughly; to be clear about
清理,qīng lǐ,to clear up; to tidy up; to dispose of
清醒,qīng xǐng,clear-headed; sober; awake
情,qíng,feeling; emotion; passion; situation
情报,qíng bào,information; intelligence
情感,qíng gǎn,feeling; emotion; to move (emotionally)
情况,qíng kuàng,circumstances; state of affairs; situation
情绪,qíng xù,mood; state of mind; moodiness
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request
请求,qǐng qiú,to request; to ask; request
请问,qǐng wèn,"Excuse me, may I ask...?"
庆祝,qìng zhù,to celebrate
求,qiú,to seek; to look for; to request; to demand; to beseech
球,qiú,ball; sphere; globe; ball game; match
球队,qiú duì,"sports team (basketball, soccer, football etc)"
球员,qiú yuán,(ball sports) player; team member
区,Oū,surname Ou
区别,qū bié,difference; to distinguish; to discriminate; to make a distinction
区域,qū yù,area; region; district
曲,Qū,surname Qu
取,qǔ,to take; to get; to choose; to fetch
取得,qǔ dé,to acquire; to get; to obtain
取消,qǔ xiāo,to cancel; cancellation
娶,qǔ,to take a wife; to marry (a woman)
去,qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
去年,qù nián,last year
去世,qù shì,to pass away; to die
圈,juān,to confine; to lock up; to pen in
全,Quán,surname Quan
全部,quán bù,whole; all
全都,quán dōu,all; without exception
全国,quán guó,whole nation; nationwide; countrywide; national
全力,quán lì,with all one's strength; full strength; all-out (effort); fully (support)
全面,quán miàn,all-around; comprehensive; total; overall
全球,quán qiú,entire; total; global; the (whole) world; worldwide
全身,quán shēn,the whole body; (typography) em
全世界,quán shì jiè,worldwide; entire world
全体,quán tǐ,all; entire
全新,quán xīn,all new; completely new
权,Quán,surname Quan
权力,quán lì,power; authority
权利,quán lì,right (i.e. an entitlement to sth); (classical) power and wealth
拳,quán,fist; boxing
劝,quàn,to advise; to urge; to try to persuade; to exhort; to console; to soothe
缺,quē,deficiency; lack; scarce; vacant post; to run short of
缺乏,quē fá,to lack; to be short of
却,què,old variant of 却
确保,què bǎo,to ensure; to guarantee
确定,què dìng,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box)
确认,què rèn,to confirm; to verify; confirmation
确实,què shí,indeed; really; reliable; real; true
群,qún,variant of 群
群众,qún zhòng,mass; multitude; the masses
然而,rán ér,however; yet; but
然后,rán hòu,then; after that; afterwards
让,ràng,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被)"
绕,rào,to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex
惹,rě,to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems)
热,rè,to warm up; to heat up; hot (of weather); heat; fervent
热情,rè qíng,cordial; enthusiastic; passion; passionate; passionately
人,rén,person; people
人才,rén cái,talent; talented person; looks; attractive looks
人家,rén jiā,household; dwelling; family; sb else's house; household business; house of woman's husband-to-be
人口,rén kǒu,population; people
人类,rén lèi,humanity; human race; mankind
人们,rén men,people
人民,rén mín,the people
人群,rén qún,crowd
人生,rén shēng,life (one's time on earth)
人士,rén shì,person; figure; public figure
人数,rén shù,number of people
人体,rén tǐ,human body
人物,rén wù,"person; personage; figure (esp. sb of importance); character (in a play, novel etc); figure painting (as a genre of traditional Chinese painting)"
人员,rén yuán,staff; crew; personnel
忍,rěn,to bear; to endure; to tolerate; to restrain oneself
认,rèn,to recognize; to know; to admit
认识,rèn shi,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition
认为,rèn wéi,to believe; to think; to consider; to feel
认真,rèn zhēn,conscientious; earnest; serious; to take seriously; to take to heart
任,Rén,surname Ren; Ren County 任县 in Hebei
任何,rèn hé,any; whatever; whichever; whatsoever
任务,rèn wu,mission; assignment; task; duty; role
扔,rēng,to throw; to throw away
仍,réng,still; yet; to remain; (literary) frequently; often
仍然,réng rán,still; as before; yet
日,Rì,"abbr. for 本, Japan"
日期,rì qī,date
日子,rì zi,day; a (calendar) date; days of one's life
荣誉,róng yù,honor; credit; glory; (honorable) reputation; honorary
容易,róng yì,easy; straightforward; likely; liable to; apt to
肉,ròu,meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; Kangxi radical 130
如,rú,as; as if; such as
如此,rú cǐ,like this; so; such
如果,rú guǒ,if; in case; in the event that
如何,rú hé,how; what way; what
如今,rú jīn,nowadays; now
如同,rú tóng,like; as
入,rù,to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入声
软,ruǎn,soft; flexible
软件,ruǎn jiàn,(computer) software
若,ruò,to seem; like; as; if
弱,ruò,weak; feeble; young; inferior; not as good as; (following a decimal or fraction) slightly less than
撒,sā,to let go; to cast; to let loose; to discharge; to give expression to; (coll.) to pee
塞,Sāi,Serbia; Serbian; abbr. for 塞尔维亚
赛,sài,to compete; competition; match; to surpass; better than; superior to; to excel
三,Sān,surname San
散,sàn,variant of 散
色,sè,color; look; appearance; sex
森林,sēn lín,forest
杀,shā,to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely
杀手,shā shǒu,killer; murderer; hit man; (sports) formidable player
沙发,shā fā,sofa (loanword); (Internet slang) the first reply or replier to a forum post
傻,shǎ,foolish
啥,shá,dialectal equivalent of 什么; also pr. [shà]
晒,shài,variant of 晒
山,Shān,surname Shan
闪,Shǎn,surname Shan
扇,shān,to fan; to slap sb on the face
善,shàn,good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect
伤,shāng,to injure; injury; wound
伤害,shāng hài,to injure; to harm
伤口,shāng kǒu,wound; cut
伤心,shāng xīn,to grieve; to be broken-hearted; to feel deeply hurt
商店,shāng diàn,store; shop
商品,shāng pǐn,commodity; goods; merchandise
商业,shāng yè,business; trade; commerce
上,shǎng,used in 上声
上班,shàng bān,to go to work; to be on duty; to start work; to go to the office
上次,shàng cì,last time
上帝,Shàng dì,God
上课,shàng kè,to go to class; to attend class; to go to teach a class
上来,shàng lái,to come up; to approach; (verb complement indicating success)
上面,shàng miàn,on top of; above-mentioned; also pr. [shàng mian]
上去,shàng qù,to go up
上升,shàng shēng,to rise; to go up; to ascend
上午,shàng wǔ,morning
上学,shàng xué,to go to school; to attend school
上周,shàng zhōu,last week
尚,Shàng,surname Shang
烧,shāo,"to burn; to cook; to stew; to bake; to roast; to heat; to boil (tea, water etc); fever; to run a temperature; (coll.) to let things go to one's head"
稍,shāo,somewhat; a little
少,shǎo,few; less; to lack; to be missing; to stop (doing sth); seldom
少年,shào nián,early youth; youngster; (literary) youth; young man
少女,shào nǚ,girl; young lady
蛇,shé,variant of 蛇
设,shè,to set up; to put in place; (math.) given; suppose; if
设备,shè bèi,equipment; facilities; installations
设计,shè jì,to design; to plan; design; plan
设计师,shè jì shī,designer; architect
设施,shè shī,facilities; installation
设置,shè zhì,to set up; to install
社,shè,(bound form) society; organization; agency; (old) god of the land
社会,shè huì,society
社区,shè qū,community; neighborhood
射,shè,old variant of 射
涉及,shè jí,to involve; to touch upon (a topic)
摄影,shè yǐng,to take a photograph; photography; to shoot (a movie)
申请,shēn qǐng,to apply for sth; application form
身边,shēn biān,at one's side; on hand
身材,shēn cái,stature; build (height and weight); figure
身份,shēn fèn,"identity; aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc); role; capacity (as in ""in his capacity as a ..."" 以…份); status (social, legal etc); position; rank"
身上,shēn shang,on the body; at hand; among
身体,shēn tǐ,the body; one's health; in person
深,shēn,old variant of 深
深刻,shēn kè,profound; deep; deep-going
深入,shēn rù,to penetrate deeply; thorough
什么,shén me,what?; something; anything
什么样,shén me yàng,what kind?; what sort?
甚至,shèn zhì,even; so much so that
神,Shén,God; abbr. for 舟
神经,shén jīng,nerve; mental state; (coll.) unhinged; nutjob
神秘,shén mì,mysterious; mystery
神奇,shén qí,magical; mystical; miraculous
审判,shěn pàn,a trial; to try sb
升,shēng,to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗
升级,shēng jí,to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade
生,shēng,to be born; to give birth; life; to grow; raw; uncooked; student
生产,shēng chǎn,to produce; to manufacture; to give birth to a child
生存,shēng cún,to exist; to survive
生活,shēng huó,to live; life; livelihood
生命,shēng mìng,life (as the characteristic of living beings); living being; creature
生气,shēng qì,to get angry; to take offense; angry; vitality; liveliness
生日,shēng rì,birthday
生物,shēng wù,organism; living creature; life form; biological
生意,shēng yì,life force; vitality
声,shēng,sound; voice; tone; noise; reputation; classifier for sounds
声明,shēng míng,to state; to declare; statement; declaration
声音,shēng yīn,voice; sound
省,shěng,to save; to economize; to be frugal; to omit; to delete; to leave out; province; provincial capital; a ministry (of the Japanese government)
圣诞节,Shèng dàn jié,Christmas time; Christmas season; Christmas
胜,shèng,victory; success; to beat; to defeat; to surpass; victorious; superior to; to get the better of; better than; surpassing; superb (of vista); beautiful (scenery); wonderful (view); (Taiwan pr. [shēng]) able to bear; equal to (a task)
胜利,shèng lì,victory
剩,shèng,to remain; to be left; to have as remainder
剩下,shèng xià,to remain; to be left over
尸体,shī tǐ,dead body; corpse; carcass
失败,shī bài,to be defeated; to lose; to fail (e.g. experiments); failure; defeat
失去,shī qù,to lose
失望,shī wàng,disappointed; to lose hope; to despair
失踪,shī zōng,to be missing; to disappear; unaccounted for
诗,Shī,"abbr. for Shijing 诗经, the Book of Songs"
湿,shī,variant of 湿
十,shí,ten; 10
十分,shí fēn,very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts
石头,shí tou,stone
石油,shí yóu,oil; petroleum
时,shí,old variant of 时
时代,Shí dài,"Time, US weekly news magazine"
时光,shí guāng,time; era; period of time
时候,shí hou,time; length of time; moment; period
时机,shí jī,opportunity; opportune moment
时间,shí jiān,time; period
时刻,shí kè,time; juncture; moment; period of time; constantly; always
时期,shí qī,period; phase
时尚,shí shàng,fashion; fad; fashionable
实际,shí jì,reality; practice; practical; realistic; real; actual
实际上,shí jì shàng,in fact; in reality; as a matter of fact; in practice
实力,shí lì,strength
实施,shí shī,to implement; to carry out
实现,shí xiàn,to achieve; to implement; to realize; to bring about
实验,shí yàn,experiment; test; experimental; to experiment
实验室,shí yàn shì,laboratory
实在,shí zài,really; actually; indeed; true; real; honest; dependable; (philosophy) reality
食品,shí pǐn,foodstuff; food; provisions
食物,shí wù,food
使,shǐ,to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
使得,shǐ de,usable; workable; feasible; doable; to make; to cause
使用,shǐ yòng,to use; to employ; to apply; to make use of
始终,shǐ zhōng,from beginning to end; all along
士兵,shì bīng,soldier
世纪,shì jì,century
世界,shì jiè,world
市,shì,market; city
市场,shì chǎng,marketplace; market (also in abstract)
市民,shì mín,city resident
市长,shì zhǎng,mayor
似的,shì de,seems as if; rather like; Taiwan pr. [sì de]
似乎,sì hū,it seems; seemingly; as if
式,shì,type; form; pattern; style
事,shì,matter; thing; item; work; affair
事故,shì gù,accident
事件,shì jiàn,event; happening; incident
事情,shì qing,affair; matter; thing; business
事实,shì shí,fact
事实上,shì shí shàng,in fact; in reality; actually; as a matter of fact; de facto; ipso facto
事物,shì wù,thing; object
事业,shì yè,"undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation"
视频,shì pín,video
试,shì,to test; to try; experiment; examination; test
试图,shì tú,to attempt; to try
试验,shì yàn,experiment; test; to experiment; experimental
室,Shì,surname Shi
是,shì,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)
是不是,shì bù shì,is or isn't; yes or no; whether or not
