Vocab,Pinyin,Meaning,Example,Example_Meaning
里,lǐ,variant of 里,我在家里。,I am at home.
里面,lǐ miàn,inside; interior; also pr. [lǐ mian],我在里面。,I am inside.
理,lǐ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,你别不理我。,Don't ignore me.
理解,lǐ jiě,to comprehend; to understand,我理解你的意思。,I understand what you mean.
理论,lǐ lùn,theory; to argue; to take notice of,他的理论很有道理。,His theory makes a lot of sense.
理想,lǐ xiǎng,an ideal; a dream; ideal; perfect,我的理想是当老师。,My ideal is to be a teacher.
理由,lǐ yóu,reason; grounds; justification,你的理由是什么？,What is your reason?
力,Lì,surname Li,我姓力。,My surname is Li.
力量,lì liang,power; force; strength,他很有力量。,He is very strong.
历史,lì shǐ,history,我喜欢历史。,I like history.
厉害,lì hai,"(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding; (of a person) stern; strict; harsh; shrewd; tough; (of an animal) fierce; (of a resemblance) striking; (of liquor or chili pepper) strong; (of bacteria) virulent",他真厉害！,He's really amazing!
立,Lì,surname Li,他姓立。,His surname is Li.
立即,lì jí,immediately,他立即走了。,He left immediately.
立刻,lì kè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,我立刻去。,I'll go right away.
利,Lì,surname Li,我姓利。,My surname is Li.
利润,lì rùn,profits,今年利润不错。,The profits this year are good.
利益,lì yì,benefit; (in sb's) interest,这符合你的利益吗？,Is this in your interest?
利用,lì yòng,to exploit; to make use of; to use; to take advantage of; to utilize,他善于利用时间。,He is good at making use of time.
例如,lì rú,for example; for instance; such as,我喜欢水果，例如苹果。,"I like fruits, for example apples."
俩,liǎ,two (colloquial equivalent of 两个); both; some,我们俩去吃饭。,The two of us are going to eat.
连,Lián,surname Lian,连先生是我老师。,Mr. Lian is my teacher.
连接,lián jiē,to link; to join; to connect,请连接网络。,Please connect to the network.
连续,lián xù,continuous; in a row; serial; consecutive,他连续三天迟到。,He was late three days in a row.
联邦,lián bāng,federal; federation; commonwealth; federal union; federal state; union,美国是联邦国家。,The US is a federal country.
联合,lián hé,to combine; to join; unite; alliance,我们联合做项目吧。,Let's team up for the project.
联盟,lián méng,alliance; union; coalition,咱们结成联盟吧。,Let's form an alliance.
联系,lián xì,variant of 联系,请保持联系。,Please keep in touch.
脸,liǎn,face,你脸红了。,You are blushing.
练,liàn,to practice; to train; to drill; to perfect (one's skill); exercise; (literary) white silk; to boil and scour raw silk,我每天练钢琴。,I practice piano every day.
练习,liàn xí,to practice; exercise; drill; practice,我每天练习汉语。,I practice Chinese every day.
恋爱,liàn ài,(romantic) love; in love; to have an affair,我想谈恋爱。,I want to fall in love.
良好,liáng hǎo,good; favorable; well; fine,我们关系良好。,We have a good relationship.
两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",我买了两本书。,I bought two books.
亮,liàng,bright; clear; resonant; to shine; to show; to reveal,房间很亮。,The room is bright.
辆,liàng,classifier for vehicles,我买了一辆车。,I bought a car.
量,liáng,to measure,请量一下尺寸。,Please measure the size.
聊,liáo,to chat; to depend upon (literary); temporarily; just; slightly,我们晚上聊聊吧。,Let's chat tonight.
聊天,liáo tiān,to chat; to gossip,我们聊天吧。,Let's chat.
料,liào,material; stuff; grain; feed; to expect; to anticipate; to guess,我料到你会来。,I expected you would come.
列,liè,to arrange; to line up; file; series; (in data tables) column; (Tw) row,请列个名单。,Please make a list.
邻居,lín jū,neighbor; next door,我的邻居很好。,My neighbor is very nice.
临时,lín shí,as the time draws near; at the last moment; temporary; interim; ad hoc,我临时有事。,I have something come up at the last minute.
灵,líng,quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin,这药真灵。,This medicine really works.
灵魂,líng hún,soul; spirit,他的灵魂很美。,His soul is beautiful.
凌晨,líng chén,very early in the morning; in the wee hours,凌晨三点我醒了。,I woke up at three in the morning.
零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,他考了零分。,He scored zero.
领,lǐng,"neck; collar; to lead; to receive; classifier for clothes, mats, screens etc",请整理好衣领。,Please straighten your collar.
领导,lǐng dǎo,lead; leading; to lead; leadership; leader,他是我们的领导。,He is our leader.
领先,lǐng xiān,to lead; to be in front,我们一直领先。,We are always ahead.
领袖,lǐng xiù,leader,他是个好领袖。,He is a good leader.
领域,lǐng yù,domain; sphere; field; territory; area,我选了这个领域。,I chose this field.
令,líng,used in 令; used in 狐 (Taiwan pr. [lìng]),这令我高兴。,This makes me happy.
另,lìng,other; another; separate; separately,我们另找时间吧。,Let's find another time.
另外,lìng wài,additional; in addition; besides; separate; other; moreover; furthermore,我还有另外一本书。,I have another book.
流,liú,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade",泪水流下来。,The tears are flowing down.
流行,liú xíng,"(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular; fashionable",这首歌很流行。,This song is very popular.
留,liú,old variant of 留,我留下来。,I will stay.
留下,liú xià,to leave behind; to stay behind; to remain; to keep; not to let (sb) go,别把我留下。,Don't leave me behind.
六,liù,six; 6,我有六本书。,I have six books.
龙,Lóng,surname Long,我姓龙。,My surname is Long.
楼,Lóu,surname Lou,我姓楼。,My surname is Lou.
录,lù,to carve wood,请录下这段视频。,Please record this video.
录像,lù xiàng,to videotape; to videorecord; video recording,我在录像。,I am recording a video.
路,Lù,surname Lu,我认识路先生。,I know Mr. Lu.
路上,lù shang,on the road; on a journey; road surface,我在路上等你。,I'll wait for you on the way.
路线,lù xiàn,itinerary; route; political line (e.g. right revisionist road),我们走哪条路线？,Which route should we take?
露,Lù,surname Lu,我姓露。,My surname is Lu.
旅行,lǚ xíng,to travel; journey; trip,我想去旅行。,I want to travel.
旅游,lǚ yóu,trip; journey; tourism; travel; tour; to travel,我们打算去旅游。,We plan to travel.
律师,lǜ shī,lawyer,我请了律师。,I hired a lawyer.
率,lǜ,rate; frequency,成功率高吗？,Is the success rate high?
绿,lǜ,green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend),这棵树很绿。,This tree is very green.
绿色,lǜ sè,green,我喜欢绿色。,I like green.
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,房间太乱了。,The room is too messy.
轮,lún,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn",轮到你了。,It's your turn.
罗,Luó,surname Luo,我姓罗。,My surname is Luo.
落,là,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind,我落在家了。,I left it at home.
落后,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress,我们别落后。,Let's not fall behind.
妈,mā,ma; mom; mother,妈在厨房。,Mom is in the kitchen.
妈妈,mā ma,mama; mommy; mother,妈妈在厨房。,Mom is in the kitchen.
麻烦,má fan,trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble,这事真麻烦。,This is really troublesome.
马,Mǎ,surname Ma; abbr. for Malaysia 马来西亚,马老师来了。,Teacher Ma is here.
马上,mǎ shàng,at once; right away; immediately; on horseback (i.e. by military force),我马上到。,I'll be there right away.
码,mǎ,"weight; number; code; to pile; to stack; classifier for length or distance (yard), happenings etc",你的密码是多少？,What is your password?
骂,mà,to scold; to abuse; to curse,别骂我。,Don't scold me.
吗,má,(coll.) what?,你吃饭了吗？,Have you eaten?
嘛,má,used in 吽; (Tw) (coll.) what?,這是嘛？,What is this?
埋,mái,to bury,我埋了颗种子。,I buried a seed.
买,mǎi,to buy; to purchase,我要买书。,I want to buy a book.
买卖,mǎi mài,buying and selling; business; business transactions,他做小买卖。,He runs a small business.
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,我在卖苹果。,I am selling apples.
蛮,mán,barbarian; bullying; very; quite; rough; reckless,天气蛮冷的。,The weather is quite cold.
满,Mǎn,Manchu ethnic group,他是满人。,He is of the Manchu ethnic group.
满意,mǎn yì,satisfied; pleased; to one's satisfaction,我对结果很满意。,I am very satisfied with the result.
满足,mǎn zú,to satisfy; to meet (the needs of); satisfied; content,我已经很满足了。,I am already very satisfied.
慢,màn,slow,他说话很慢。,He speaks very slowly.
慢慢,màn màn,slowly,慢慢走，别着急。,"Walk slowly, don't rush."
忙,máng,busy; hurriedly; to hurry; to rush,我今天很忙。,I am very busy today.
猫,māo,cat; (dialect) to hide oneself; (coll.) modem,我家有一只猫。,I have a cat at home.
毛,Máo,surname Mao,我朋友姓毛。,My friend's surname is Mao.
矛盾,máo dùn,contradiction; conflicting views; contradictory,你的话有矛盾。,Your words are contradictory.
冒,mào,old variant of 冒,外面冒烟了。,Smoke is coming out outside.
冒险,mào xiǎn,to take risks; to take chances; foray; adventure,这太冒险了。,This is too risky.
帽子,mào zi,hat; cap; (fig.) label; bad name,你的帽子真好看。,Your hat looks really nice.
没,méi,(negative prefix for verbs) have not; not,我没吃饭。,I haven't eaten.
没关系,méi guān xi,it doesn't matter,没关系，我不累。,"No problem, I'm not tired."
没什么,méi shén me,nothing; it doesn't matter; it's nothing; never mind,别担心，没什么。,"Don't worry, it's nothing."
没有,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be,我没有钱。,I don't have money.
枚,Méi,surname Mei,你姓枚吗？,Do you have the surname Mei?
玫瑰,méi guī,rugosa rose (shrub) (Rosa rugosa); rose flower,我喜欢玫瑰。,I like roses.
媒体,méi tǐ,"media, esp. news media",媒体在报道这事。,The media is reporting on this.
每,měi,each; every,我每天喝咖啡。,I drink coffee every day.
美,Měi,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国),他在美工作。,He works in the US.
美好,měi hǎo,beautiful; fine,拥有美好的一天。,Have a beautiful day.
美丽,měi lì,beautiful,这朵花很美丽。,This flower is very beautiful.
美女,měi nǚ,beautiful woman,那位美女是谁？,Who is that beautiful woman?
美元,Měi yuán,American dollar; US dollar,这件衣服要多少美元？,How many US dollars is this shirt?
妹,mèi,younger sister,我有个妹妹。,I have a younger sister.
妹妹,mèi mei,younger sister; young woman,我妹妹很漂亮。,My younger sister is very pretty.
魅力,mèi lì,charm; fascination; glamor; charisma,他很有魅力。,He is very charming.
门,Mén,surname Men,我姓门。,My surname is Men.
门口,mén kǒu,doorway; gate,我在门口等你。,I'm waiting for you at the door.
们,men,"plural marker for pronouns, and nouns referring to individuals",我们明天见。,See you tomorrow.
蒙,méng,drizzle; mist,外面下着蒙蒙雨。,It's drizzling outside.
猛,měng,ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome,这只狗很猛。,This dog is very fierce.
梦,mèng,dream; (bound form) to dream,我梦见你了。,I dreamed of you.
梦想,mèng xiǎng,(fig.) to dream of; dream,你的梦想是什么？,What is your dream?
迷,mí,to bewilder; crazy about; fan; enthusiast; lost; confused,他是篮球迷。,He is a basketball fan.
米,Mǐ,surname Mi,米老师来了。,Teacher Mi is here.
秘密,mì mì,secret; private; confidential; clandestine; a secret,我有一个小秘密。,I have a little secret.
密,Mì,surname Mi; name of an ancient state,他姓密。,His surname is Mi.
密码,mì mǎ,cipher; secret code; password; PIN,我忘了密码。,I forgot the password.
免,miǎn,to excuse sb; to exempt; to remove or dismiss from office; to avoid; to avert; to escape; to be prohibited,老师免了我的作业。,The teacher exempted me from homework.
免费,miǎn fèi,free (of charge),门票免费吗？,Is the ticket free?
面,miàn,"face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc",看那面旗。,Look at that flag.
面对,miàn duì,to face; to confront,我们要面对现实。,We need to face reality.
面临,miàn lín,to face sth; to be confronted with,我们面临选择。,We face a choice.
面前,miàn qián,in front of; facing; (in the) presence (of),我面前有一杯水。,There is a cup of water in front of me.
描述,miáo shù,to describe; description,请描述一下。,Please describe it.
秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly,请等我一秒。,Please wait one second for me.
民主,mín zhǔ,democracy,民主很重要。,Democracy is very important.
民族,mín zú,nationality; ethnic group,你是哪个民族的？,What is your ethnicity?
敏感,mǐn gǎn,sensitive; susceptible,他对这个话题很敏感。,He is very sensitive about this topic.
名,míng,name; noun (part of speech); place (e.g. among winners); famous; classifier for people,他很有名。,He is very famous.
名单,míng dān,list of names,名单上有你的名字。,Your name is on the list.
名人,míng rén,personage; celebrity,他是个名人。,He is a celebrity.
名字,míng zi,name (of a person or thing),你叫什么名字？,What is your name?
明白,míng bai,clear; obvious; unequivocal; to understand; to realize,我现在明白了。,I understand now.
明明,míng míng,obviously; plainly; undoubtedly; definitely,他明明来了。,He obviously came.
明年,míng nián,next year,我明年去北京。,I will go to Beijing next year.
明确,míng què,clear-cut; definite; explicit; to clarify; to specify; to make definite,请明确你的意思。,Please clarify your meaning.
明天,míng tiān,tomorrow,我们明天见。,See you tomorrow.
明显,míng xiǎn,clear; distinct; obvious,他的变化很明显。,His change is very obvious.
明星,míng xīng,star; celebrity,他是大明星。,He is a big star.
命,mìng,"life; fate; order or command; to assign a name, title etc",别拿命开玩笑。,Don't joke with your life.
命令,mìng lìng,order; command,老板下了命令。,The boss gave an order.
命运,mìng yùn,fate; destiny,他的命运改变了。,His fate changed.
摸,mō,to feel with the hand; to touch; to stroke; to grope; to steal; to abstract,别乱摸东西。,Don't touch things randomly.
模式,mó shì,mode; method; pattern,换个新模式吧。,Let's try a new mode.
模型,mó xíng,model; mold; matrix; pattern,我喜欢这个模型。,I like this model.
末,mò,tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man,周末见！,See you on the weekend!
某,mǒu,some; a certain; sb or sth indefinite; such-and-such,某人在等我。,Someone is waiting for me.
母,mǔ,mother; elderly female relative; origin; source; (of animals) female,母鸡下蛋了。,The hen laid an egg.
母亲,mǔ qīn,mother; also pr. [mǔ qin],我爱我的母亲。,I love my mother.
目标,mù biāo,target; goal; objective,我的目标是学好中文。,My goal is to learn Chinese well.
目的,mù dì,purpose; aim; goal; target; objective,我的目的是学习中文。,My goal is to learn Chinese.
目前,mù qián,at the present time; currently,目前我在学习中文。,Currently I am learning Chinese.
幕,mù,curtain or screen; canopy or tent; headquarters of a general; act (of a play),音乐会开幕了。,The concert has started.
嗯,ēn,(a groaning sound),嗯，我知道了。,"Hmm, I know."
拿,ná,old variant of 拿,请拿一杯水。,Please get a cup of water.
哪,nǎ,how; which,这是哪本书？,Which book is this?
哪儿,nǎ r,where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?,你去哪儿？,Where are you going?
哪里,nǎ lǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里,你在哪里？,Where are you?
哪些,nǎ xiē,which ones?; who?; what?,你想要哪些？,Which ones do you want?
那,Nā,surname Na,我姓那。,My surname is Na.
那边,nà bian,over there; yonder,我们去那边吧。,Let's go over there.
那儿,nà r,there,我们去那儿吧。,Let's go there.
那里,nà li,there; that place,我们去那里吧。,Let's go there.
那么,nà me,like that; in that way; or so; so; so very much; about; in that case,天气那么冷。,The weather is so cold.
那时,nà shí,then; at that time; in those days,那时我很忙。,I was very busy then.
那些,nà xiē,those,那些是什么？,What are those?
那样,nà yàng,that kind; that sort,别那样做。,Don't do that.
奶,nǎi,breast; milk; to breastfeed,我想喝奶。,I want to drink milk.
奶奶,nǎi nai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts,我想奶奶了。,I miss grandma.
耐心,nài xīn,to be patient; patience,他很有耐心。,He is very patient.
男,nán,"male; Baron, lowest of five orders of nobility 位",他是男的。,He is male.
男朋友,nán péng you,boyfriend,他是我男朋友。,He is my boyfriend.
男人,nán rén,a man; a male; men,那个男人很帅。,That man is very handsome.
男生,nán shēng,schoolboy; male student; boy; guy (young adult male),那个男生是我同学。,That boy is my classmate.
男性,nán xìng,the male sex; a male,我是男性。,I am male.
男子,nán zǐ,a man; a male,那位男子是我朋友。,That man is my friend.
南,Nán,surname Nan,南先生来了。,Mr. Nan is here.
南方,nán fāng,south; the southern part of the country; the South,我想去南方。,I want to go south.
难,nán,difficult (to...); problem; difficulty; difficult; not good,这道题很难。,This question is very difficult.
难道,nán dào,don't tell me ...; could it be that...?,难道你忘了？,Don't tell me you forgot?
难过,nán guò,to feel sad; to feel unwell; (of life) to be difficult,我今天很难过。,I feel sad today.
难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear,我今天很难受。,I feel very unwell today.
难以,nán yǐ,"hard to (predict, imagine etc)",未来难以预测。,The future is hard to predict.
脑袋,nǎo dai,head; skull; brains; mental capability,他挠了挠脑袋。,He scratched his head.
脑子,nǎo zi,brains; mind,我脑子转不动了。,My brain isn't working.
闹,nào,variant of 闹,别闹了！,Stop messing around!
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation",你呢？,What about you?
内,nèi,inside; inner; internal; within; interior,请进室内。,Please come inside.
内部,nèi bù,"interior; inside (part, section); internal",内部空间很大。,The interior space is large.
内容,nèi róng,content; substance; details,这本书的内容很有趣。,The content of this book is very interesting.
内心,nèi xīn,heart; innermost being; (math.) incenter,我内心很平静。,I feel calm inside.
能,Néng,surname Neng,我能老师好。,"Hello, Teacher Neng."
能不能,néng bùnéng,Can you,能不能帮我？,Can you help me?
能否,néng fǒu,whether or not; can it or can't it; is it possible?,能否帮帮我？,Could you help me?
能够,néng gòu,to be capable of; to be able to; can,他能够说中文。,He can speak Chinese.
能力,néng lì,capability; ability,我有这个能力。,I have this ability.
能量,néng liàng,energy; capabilities,我需要一点能量。,I need a little energy.
能源,néng yuán,energy; power source,我们需要更多能源。,We need more energy.
你,nǐ,"you (informal, as opposed to courteous 您)",你好吗？,How are you?
你们,nǐ men,you (plural),你们好吗？,How are you all?
年,Nián,surname Nian,明年见。,See you next year.
年代,nián dài,a decade of a century (e.g. the Sixties); age; era; period,我们喜欢那个年代。,We like that era.
年度,nián dù,"year (e.g. school year, fiscal year); annual",年度聚会真开心。,The annual gathering was really fun.
年纪,nián jì,age,你年纪多大？,How old are you?
年龄,nián líng,(a person's) age,你的年龄是多少？,What is your age?
年轻,nián qīng,young,她看起来很年轻。,She looks young.
念,niàn,"variant of 念, to read aloud",请大声念出来。,Please read it out loud.
娘,niáng,mother; young lady; (coll.) effeminate,我娘在家。,My mother is at home.
鸟,diǎo,variant of 屌; penis,这鸟事真烦,This damn thing is so annoying.
尿,niào,to urinate; urine,我想去尿尿。,I want to go pee.
您,nín,"you (courteous, as opposed to informal 你)",您好吗？,How are you?
牛,Niú,surname Niu,牛老师来了。,Teacher Niu is here.
牛奶,niú nǎi,cow's milk,我想喝牛奶。,I want to drink milk.
农民,nóng mín,peasant; farmer,我爸爸是农民。,My father is a farmer.
弄,lòng,lane; alley,我家住在弄里。,I live in the alley.
努力,nǔ lì,to make an effort; to try hard; to strive; hard-working; conscientious,请继续努力。,Please keep trying hard.
女,nǚ,female; woman; daughter,她是我的女儿。,She is my daughter.
女儿,nǚ ér,daughter,我女儿很乖。,My daughter is very well-behaved.
女朋友,nǚ péng you,girlfriend,我女朋友很漂亮。,My girlfriend is very pretty.
女人,nǚ rén,woman,那个女人很漂亮。,That woman is very pretty.
女生,nǚ shēng,schoolgirl; female student; girl,那个女生是我同学。,That girl is my classmate.
女士,nǚ shì,lady; madam; Miss; Ms,这位女士请坐。,"Madam, please take a seat."
女性,nǚ xìng,woman; the female sex,很多女性喜欢旅行。,Many women like traveling.
女子,nǚ zǐ,woman; female,那位女子很漂亮。,That woman is very pretty.
暖,nuǎn,old variant of 暖,天气真暖。,The weather is really warm.
哦,é,to chant,我喜欢哦诗。,I like to chant poems.
欧洲,Oū zhōu,Europe (abbr. for 欧罗巴洲),我想去欧洲。,I want to go to Europe.
偶尔,ǒu ěr,occasionally; once in a while; sometimes,我偶尔喝咖啡。,I occasionally drink coffee.
偶像,ǒu xiàng,idol,他是我的偶像。,He is my idol.
爬,pá,to crawl; to climb; to get up or sit up,小猫爬上树了。,The cat climbed the tree.
怕,Pà,surname Pa,我怕黑。,I am afraid of the dark.
拍,pāi,to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music),请帮我拍个照。,Please take a photo for me.
拍摄,pāi shè,to take (a picture); to shoot (a film),我在拍摄照片。,I am taking photos.
拍照,pāi zhào,to take a picture,请帮我拍照。,Please take a picture for me.
排,pái,"a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc",我们排成一队吧。,Let's line up in a row.
排除,pái chú,to eliminate; to remove; to exclude; to rule out,先排除干扰。,Rule out distractions first.
牌,pái,mahjong tile; playing card; game pieces; signboard; plate; tablet; medal,他抽到一张牌。,He drew a card.
派,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie,公司派他出差。,The company sent him on a business trip.
盘,pán,"plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess",这盘菜真好吃。,This dish is really delicious.
判,pàn,to judge; to sentence; to discriminate; to discern; clearly distinguishable,这事不好判。,It is hard to judge.
判断,pàn duàn,to judge; to determine; judgment,这很难判断。,It's hard to judge.
判决,pàn jué,judgment (by a court of law); to pass judgment on; to sentence,法院今天下判决。,The court will give the verdict today.
旁,páng,"one side; other; different; lateral component of a Chinese character (such as 刂, 亻 etc)",我坐在旁边。,I sit on the side.
旁边,páng biān,side; adjacent place,我坐在旁边。,I'm sitting on the side.
胖,pán,healthy; at ease,他最近变胖了。,He has gotten a bit chubby lately.
抛,pāo,to throw; to toss; to fling; to cast; to abandon,他把球抛给我。,He threw the ball to me.
跑,páo,(of an animal) to paw (the ground),马跑地。,The horse paws the ground.
泡,pāo,puffed; swollen; spongy; small lake (esp. in place names); classifier for urine or feces,我们去那个小泡吧。,Let's go to that small lake.
陪,péi,to accompany; to keep sb company; to assist; old variant of 赔,我陪你吃饭。,I'll eat with you.
培训,péi xùn,to cultivate; to train; to groom; training,明天有培训吗？,Is there training tomorrow?
培养,péi yǎng,to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology),父母培养孩子。,Parents nurture children.
赔偿,péi cháng,to compensate,请赔偿我的损失。,Please compensate for my loss.
配,pèi,to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate,衣服很配你。,The clothes suit you well.
配合,pèi hé,matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine,请配合一下。,Please cooperate.
喷,pēn,to puff; to spout; to spray; to spurt,水从管子里喷出来。,Water is spraying out of the pipe.
朋友,péng you,friend,他是我的朋友。,He is my friend.
碰,pèng,variant of 碰,别碰我的电脑。,Don't touch my computer.
碰到,pèng dào,to come across; to run into; to meet; to hit,昨天碰到你了。,I ran into you yesterday.
批,pī,"to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)",我买了一批书。,I bought a batch of books.
批评,pī píng,to criticize; criticism,老师批评了我。,The teacher criticized me.
批准,pī zhǔn,to approve; to ratify,请批准我的申请。,Please approve my application.
皮,Pí,surname Pi,我朋友姓皮。,My friend's surname is Pi.
皮肤,pí fū,skin,我的皮肤很干。,My skin is very dry.
啤酒,pí jiǔ,beer (loanword),我想喝啤酒。,I want to drink beer.
匹,pī,mate; one of a pair,找匹合适的。,Find a suitable mate.
屁股,pì gu,buttocks; bottom; butt; back part,我摔到屁股了。,I fell on my butt.
偏,piān,to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations,衣服偏小了。,The clothes are a bit small.
篇,piān,"sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article",我写了一篇作文。,I wrote an essay.
片,piān,disk; sheet,请给我一片纸。,Please give me a sheet of paper.
骗,piàn,to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over,别骗我。,Don't lie to me.
票,piào,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions",我有一张票。,I have a ticket.
漂亮,piào liang,pretty; beautiful,这花真漂亮。,This flower is really beautiful.
拼,pīn,to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell,拼一把吧！,Let's give it a shot!
频道,pín dào,frequency; (television) channel,换个频道吧。,Let's change the channel.
品,pǐn,(bound form) article; commodity; product; goods; (bound form) grade; rank; kind; type; variety; character; disposition; nature; temperament; to taste sth; to sample; to criticize; to comment; to judge; to size up; fret (on a guitar or lute),我在品茶。,I am tasting tea.
品牌,pǐn pái,brand name; trademark,这个品牌很好。,This brand is very good.
平,Píng,surname Ping,我姓平。,My surname is Ping.
平安,píng ān,safe and sound; well; without mishap; quiet and safe; at peace,祝你一路平安。,Wish you a safe journey.
平衡,píng héng,balance; equilibrium,生活需要平衡。,Life needs balance.
平静,píng jìng,tranquil; undisturbed; serene,湖面很平静。,The lake is very tranquil.
平均,píng jūn,average; on average; evenly; in equal proportions,平均价格是多少？,What is the average price?
平时,píng shí,ordinarily; in normal times; in peacetime,平时你几点起床？,What time do you usually wake up?
评估,píng gū,to evaluate; to assess; assessment; evaluation,请评估这个方案。,Please evaluate this plan.
评价,píng jià,to evaluate; to assess,请评价一下。,Please evaluate this.
评论,píng lùn,to comment on; to discuss; comment; commentary,你的评论很棒。,Your comment is great.
评委,píng wěi,evaluation committee; judging panel; judging panel member; adjudicator (abbr. for 评选委员会委员),评委是谁？,Who is the judge?
凭,píng,variant of 凭,你凭什么这么说？,Why do you say that?
苹果,píng guǒ,apple,我喜欢吃苹果。,I like to eat apples.
屏幕,píng mù,"screen (TV, computer or movie)",别一直看屏幕,Don't keep staring at the screen.
瓶,píng,bottle; vase; pitcher; classifier for wine and liquids,请给我一瓶水。,Please give me a bottle of water.
破,pò,"broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",衣服破了一个洞。,The clothes have a hole.
破坏,pò huài,destruction; damage; to wreck; to break; to destroy,别破坏我的计划。,Don't ruin my plan.
普通,pǔ tōng,common; ordinary; general; average,我就是个普通人。,I am just an ordinary person.
七,qī,seven; 7,我有七本书。,I have seven books.
妻子,qī zǐ,wife and children,我妻子喜欢做饭。,My wife likes cooking.
期,qī,variant of 期; period; cycle,假期快到了。,The holiday is almost here.
期待,qī dài,to look forward to; to await; expectation,我很期待你的回复。,I look forward to your reply.
期间,qī jiān,period of time; time; time period; period,出差期间我很忙。,I was very busy during the trip.
期望,qī wàng,to have expectations; to earnestly hope; expectation; hope,我期望你能来。,I hope you can come.
齐,Qí,(name of states and dynasties at several different periods); surname Qi,我姓齐。,My surname is Qi.
其,qí,his; her; its; their; that; such; it (refers to sth preceding it),其书在桌上。,His book is on the table.
其次,qí cì,next; secondly,其次，我们吃饭吧。,"Next, let's eat."
其实,qí shí,actually; in fact; really,其实我不饿。,"Actually, I'm not hungry."
其他,qí tā,other; (sth or sb) else; the rest,我要这个，其他不要。,"I want this one, not the others."
其中,qí zhōng,among; in; included among these,五本书，其中一本丢了。,"Of the five books, one is missing."
