Vocab,Pinyin,Meaning,Example,Example_Meaning
幻想,huàn xiǎng,delusion; fantasy,,
换,huàn,to exchange; to change (clothes etc); to substitute; to switch; to convert (currency),,
患,huàn,to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry,,
患者,huàn zhě,patient; sufferer,,
欢乐,huān lè,gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay,,
欢迎,huān yíng,to welcome; welcome,,
黄,Huáng,surname Huang or Hwang,,
黄金,huáng jīn,gold; golden (opportunity); prime (time),,
灰,huī,ash; dust; lime; gray; discouraged; dejected,,
恢复,huī fù,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate,,
挥,huī,to wave; to brandish; to command; to conduct; to scatter; to disperse,,
回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),,
回报,huí bào,(in) return; reciprocation; payback; retaliation; to report back; to reciprocate,,
回答,huí dá,to reply; to answer; reply; answer,,
回到,huí dào,to return to,,
回复,huí fù,to reply; to recover; to return (to a previous condition); Re: in reply to (email),,
回归,huí guī,to return to; to retreat; regression (statistics),,
回家,huí jiā,to return home,,
回来,huí lai,to return; to come back,,
回去,huí qu,to return; to go back,,
回头,huí tóu,to turn round; to turn one's head; later; by and by,,
回忆,huí yì,to recall; memories,,
毁,huǐ,to destroy; to ruin; to defame; to slander,,
会,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),,
会见,huì jiàn,to meet with (sb who is paying a visit),,
会议,huì yì,meeting; conference,,
婚礼,hūn lǐ,wedding ceremony; wedding,,
婚姻,hūn yīn,matrimony; wedding; marriage,,
混,hún,confused; dirty; to mix; muddy; variant of 浑,,
混合,hùn hé,to mix; to blend; hybrid; composite,,
混乱,hùn luàn,confusion; chaos; disorder,,
活,huó,to live; alive; living; work; workmanship,,
活动,huó dòng,to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior,,
活力,huó lì,energy; vitality; vigor; vital force,,
火,Huǒ,surname Huo,,
火车,huǒ chē,train,,
火箭,huǒ jiàn,rocket,,
伙伴,huǒ bàn,partner; companion; comrade,,
或,huò,maybe; perhaps; might; possibly; or,,
或是,huò shì,or; either one or the other,,
或许,huò xǔ,perhaps; maybe,,
或者,huò zhě,or; possibly; maybe; perhaps,,
货,huò,goods; money; commodity,,
获,huò,(literary) to catch; to capture; (literary) to get; to obtain; to win,,
获得,huò dé,to obtain; to receive; to get,,
获胜,huò shèng,victorious; to win; to triumph,,
机场,jī chǎng,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship,,
机构,jī gòu,mechanism; structure; organization; agency; institution,,
机关,jī guān,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick,,
机会,jī huì,opportunity; chance; occasion,,
机器,jī qì,machine,,
机械,jī xiè,machine; machinery; mechanical; (old) cunning; scheming,,
肌肉,jī ròu,muscle; flesh,,
鸡,jī,fowl; chicken; (slang) prostitute,,
鸡蛋,jī dàn,(chicken) egg; hen's egg,,
积极,jī jí,active; energetic; vigorous; positive (outlook); proactive,,
基本,jī běn,basic; fundamental; main; elementary,,
基本上,jī běn shang,basically; on the whole,,
基础,jī chǔ,base; foundation; basis; basic; fundamental,,
基地,jī dì,base (of operations); industrial or military base; al-Qaeda,,
基金,jī jīn,fund,,
基因,jī yīn,gene (loanword),,
基于,jī yú,because of; on the basis of; in view of; on account of,,
激动,jī dòng,to move emotionally; to stir up (emotions); to excite,,
激烈,jī liè,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme,,
激情,jī qíng,passion; fervor; enthusiasm; strong emotion,,
及,jí,and; to reach; up to; in time for,,
及时,jí shí,timely; at the right time; promptly; without delay,,
级,jí,"level; grade; rank; step (of stairs); classifier: step, level",,
即,jí,namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near,,
即便,jí biàn,even if; even though; right away; immediately,,
即将,jí jiāng,on the eve of; to be about to; to be on the verge of,,
即使,jí shǐ,even if; even though,,
极,jí,"extremely; pole (geography, physics); utmost; top",,
极了,jí le,extremely; exceedingly,,
急,jí,urgent; pressing; rapid; hurried; worried; to make (sb) anxious,,
疾病,jí bìng,disease; sickness; ailment,,
集,jí,to gather; to collect; collected works; classifier for sections of a TV series etc: episode,,
集体,jí tǐ,collective (decision); joint (effort); a group; a team; en masse; as a group,,
集团,jí tuán,group; bloc; corporation; conglomerate,,
集中,jí zhōng,to concentrate; to centralize; to focus; centralized; concentrated; to put together,,
几,jī,small table,,
几乎,jī hū,almost; nearly; practically,,
挤,jǐ,to crowd in; to cram in; to force others aside; to press; to squeeze; to find (time in one's busy schedule),,
计,Jì,surname Ji,,
计划,jì huà,plan; project; program; to plan; to map out,,
计算,jì suàn,to count; to calculate; to compute,,
计算机,jì suàn jī,computer; (Tw) calculator,,
记,jì,"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots",,
记得,jì de,to remember,,
记录,jì lù,to record; record (written account); note-taker; record (in sports etc),,
记忆,jì yì,to remember; to recall; memory,,
记者,jì zhě,reporter; journalist,,
记住,jì zhu,to remember; to bear in mind; to learn by heart,,
纪录,jì lù,"variant of 记录 (but in Taiwan, not for the verb sense ""to record"")",,
纪念,jì niàn,to commemorate; to honor the memory of; memento; keepsake; souvenir,,
技巧,jì qiǎo,skill; technique,,
技术,jì shù,technology; technique; skill,,
剂,jì,dose (medicine),,
季,Jì,surname Ji,,
既,jì,already; since; both... (and...),,
既然,jì rán,since; as; this being the case,,
继续,jì xù,to continue; to proceed with; to go on with,,
寂寞,jì mò,lonely; lonesome; (of a place) quiet; silent,,
寄,jì,to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc),,
加,Jiā,Canada (abbr. for 大); surname Jia,,
加快,jiā kuài,to accelerate; to speed up,,
加强,jiā qiáng,to reinforce; to strengthen; to enhance,,
加入,jiā rù,to become a member; to join; to mix into; to participate in; to add in,,
加上,jiā shàng,plus; to put in; to add; to add on; to add into; in addition; on top of that,,
加速,jiā sù,to speed up; to expedite,,
加油,jiā yóu,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on,,
夹,jiā,to press from either side; to place in between; to sandwich; to carry sth under armpit; wedged between; between; to intersperse; to mix; to mingle; clip; folder; Taiwan pr. [jiá],,
家,jiā,used in 家伙 and 家俱,,
家伙,jiā huo,variant of 伙,,
家里,jiā lǐ,home,,
家人,jiā rén,family member; (old) servant,,
家庭,jiā tíng,family; household,,
家长,jiā zhǎng,head of a household; family head; patriarch; parent or guardian of a child,,
家族,jiā zú,family; clan,,
甲,jiǎ,"first of the ten Heavenly Stems 干; (used for an unspecified person or thing); first (in a list, as a party to a contract etc); letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc; armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit in the baojia 甲 system (old); ancient Chinese compass point: 75°",,
假,gēi,used in 掰,,
假如,jiǎ rú,if,,
价,jià,price; value; (chemistry) valence,,
价格,jià gé,price,,
价值,jià zhí,"value; worth; fig. values (ethical, cultural etc)",,
驾驶,jià shǐ,"to pilot (ship, airplane etc); to drive",,
架,jià,"to support; frame; rack; framework; classifier for planes, large vehicles, radios etc",,
嫁,jià,(of a woman) to marry; to marry off a daughter; to shift (blame etc),,
坚持,jiān chí,to persevere with; to persist in; to insist on,,
坚强,jiān qiáng,staunch; strong,,
间,jiān,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms,,
艰难,jiān nán,difficult; hard; challenging,,
监督,jiān dū,to control; to supervise; to inspect,,
监控,jiān kòng,to monitor,,
监狱,jiān yù,prison,,
减,jiǎn,to lower; to decrease; to reduce; to subtract; to diminish,,
减肥,jiǎn féi,to lose weight,,
减少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower,,
剪,Jiǎn,surname Jian,,
检测,jiǎn cè,to detect; to test; detection; sensing,,
检查,jiǎn chá,inspection; to examine; to inspect,,
检验,jiǎn yàn,to inspect; to examine; to test,,
简单,jiǎn dān,simple; not complicated,,
简直,jiǎn zhí,simply; really,,
见,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view,,
见到,jiàn dào,to see,,
见面,jiàn miàn,to meet; to see each other,,
件,jiàn,"item; component; classifier for events, things, clothes etc",,
建,jiàn,to establish; to found; to set up; to build; to construct,,
建立,jiàn lì,to establish; to set up; to found,,
建议,jiàn yì,to propose; to suggest; to recommend; proposal; suggestion; recommendation,,
建造,jiàn zào,to construct; to build,,
建筑,jiàn zhù,to construct; building,,
剑,jiàn,double-edged sword; classifier for blows of a sword,,
健康,jiàn kāng,health; healthy,,
将,jiāng,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把)",,
将军,Jiāng jūn,(common place name),,
将来,jiāng lái,in the future; future; the future,,
讲,jiǎng,to speak; to explain; to negotiate; to emphasize; to be particular about; as far as sth is concerned; speech; lecture,,
讲话,jiǎng huà,a speech; to speak; to talk; to address,,
奖,jiǎng,prize; award; encouragement,,
奖金,jiǎng jīn,premium; award money; bonus,,
奖励,jiǎng lì,to reward; reward (as encouragement),,
降,jiàng,to drop; to fall; to come down; to descend,,
降低,jiàng dī,to reduce; to lower; to bring down,,
交,jiāo,to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); variant of 跤,,
交给,jiāo gěi,to give; to deliver; to hand over,,
交换,jiāo huàn,to exchange; to swap; to switch (telecom); commutative (math); to commute,,
交流,jiāo liú,to exchange; exchange; communication; interaction; to have social contact (with sb),,
交通,jiāo tōng,to be connected; traffic; transportation; communications; liaison,,
交往,jiāo wǎng,to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact,,
交易,jiāo yì,to deal; to trade; to transact; transaction; deal,,
骄傲,jiāo ào,pride; arrogance; conceited; proud of sth,,
角,Jué,surname Jue,,
角度,jiǎo dù,angle; point of view,,
角色,jué sè,role; character in a novel; persona; also pr. [jiǎo sè],,
脚,jiǎo,foot; leg (of an animal or an object); base (of an object); classifier for kicks,,
叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),,
轿车,jiào chē,enclosed carriage for carrying passengers; motor carriage; car or bus; limousine,,
较,jiào,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather; also pr. [jiǎo],,
教,Jiào,surname Jiao,,
教练,jiào liàn,instructor; sports coach; trainer,,
教师,jiào shī,teacher,,
教授,jiào shòu,professor; to instruct; to lecture on,,
教训,jiào xun,to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson,,
教育,jiào yù,to educate; to teach; education,,
阶段,jiē duàn,stage; section; phase; period,,
皆,jiē,all; each and every; in all cases,,
接,jiē,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb,,
接触,jiē chù,to touch; to contact; access; in touch with,,
接到,jiē dào,to receive (letter etc),,
接近,jiē jìn,to approach; to get close to,,
接受,jiē shòu,to accept; to receive,,
接下来,jiē xià lái,to accept; to take; next; following,,
接着,jiē zhe,to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn,,
街,jiē,street,,
街道,jiē dào,street; subdistrict; residential district,,
节,jiē,see 节骨眼,,
节目,jié mù,program; item (on a program),,
节日,jié rì,holiday; festival,,
结,jiē,(of a plant) to produce (fruit or seeds); Taiwan pr. [jié],,
结构,jié gòu,structure; composition; makeup; architecture,,
结果,jiē guǒ,to bear fruit,,
结合,jié hé,to combine; to link; to integrate; binding,,
结婚,jié hūn,to marry; to get married,,
结局,jié jú,conclusion; ending,,
结论,jié lùn,conclusion; verdict; to conclude; to reach a verdict,,
结束,jié shù,termination; to finish; to end; to conclude; to close,,
解,Xiè,surname Xie,,
解放,jiě fàng,to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949,,
解决,jiě jué,"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)",,
解释,jiě shì,explanation; to explain; to interpret; to resolve,,
介绍,jiè shào,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction,,
戒,jiè,to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger),,
届,jiè,"to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)",,
界,jiè,(bound form) boundary; border; (bound form) realm,,
借,jiè,to lend; to borrow; by means of; to take (an opportunity),,
姐,jiě,older sister,,
姐姐,jiě jie,older sister,,
姐妹,jiě mèi,"sisters; siblings; sister (school, city etc)",,
今后,jīn hòu,hereafter; henceforth; in the future; from now on,,
今年,jīn nián,this year,,
今日,jīn rì,today,,
今天,jīn tiān,today; at the present; now,,
金,Jīn,surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234),,
金属,jīn shǔ,metal,,
仅,jǐn,barely; only; merely,,
仅仅,jǐn jǐn,barely; only; merely; only (this and nothing more),,
尽,jǐn,to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to,,
尽管,jǐn guǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating",,
尽快,jǐn kuài,as quickly as possible; as soon as possible,,
尽量,jǐn liàng,as much as possible; to the greatest extent,,
紧,jǐn,tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten,,
紧急,jǐn jí,urgent; emergency,,
紧张,jǐn zhāng,nervous; keyed up; intense; tense; strained; in short supply; scarce,,
近,jìn,near; close to; approximately,,
进,jìn,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,,
进步,jìn bù,progress; improvement; to improve; to progress,,
进攻,jìn gōng,to attack; to assault; to go on the offensive; attack; assault; offense (sports),,
进来,jìn lái,to come in,,
进去,jìn qù,to go in,,
进入,jìn rù,to enter; to join; to go into,,
进行,jìn xíng,to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute,,
进一步,jìn yī bù,"to go a step further; (develop, understand, improve etc) more; further",,
进展,jìn zhǎn,to make headway; to make progress,,
禁止,jìn zhǐ,to prohibit; to forbid; to ban,,
经,Jīng,surname Jing,,
经常,jīng cháng,frequently; constantly; regularly; often; day-to-day; everyday; daily,,
经典,jīng diǎn,"the classics; scriptures; classical; classic (example, case etc); typical",,
经过,jīng guò,to pass; to go through; process; course,,
经济,jīng jì,economy; economic,,
经理,jīng lǐ,manager; director,,
经历,jīng lì,experience; to experience; to go through,,
经验,jīng yàn,experience; to experience,,
经营,jīng yíng,to engage in (business etc); to run; to operate,,
惊,jīng,to startle; to be frightened; to be scared; alarm,,
惊喜,jīng xǐ,nice surprise; to be pleasantly surprised,,
惊讶,jīng yà,amazed; astonished; to surprise; amazing; astonishment; awe,,
精,jīng,essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic),,
精彩,jīng cǎi,wonderful; marvelous; brilliant,,
精力,jīng lì,energy,,
精神,jīng shén,spirit; mind; consciousness; thought; mental; psychological; essence; gist,,
井,Jǐng,"Jing, one of the 28 constellations of Chinese astronomy; surname Jing",,
警察,jǐng chá,police; police officer,,
警告,jǐng gào,to warn; to admonish,,
竞争,jìng zhēng,to compete; competition,,
竟,jìng,unexpectedly; actually; to go so far as to; indeed,,
竟然,jìng rán,unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to,,
静,jìng,still; calm; quiet; not moving,,
镜头,jìng tóu,camera lens; camera shot (in a movie etc); scene,,
究竟,jiū jìng,to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally; outcome; result,,
九,jiǔ,nine; 9,,
久,jiǔ,(long) time; (long) duration of time,,
酒,jiǔ,wine (esp. rice wine); liquor; spirits; alcoholic beverage,,
酒吧,jiǔ bā,bar; pub; saloon,,
酒店,jiǔ diàn,wine shop; pub (public house); hotel; restaurant; (Tw) hostess club,,
旧,jiù,old; opposite: new 新; former; worn (with age),,
救,jiù,variant of 救,,
就,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 着) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就 ... 也 ...) even if ... still ...; (pattern: 不 ... 就 ...) if not ... then must be ...,,
就是,jiù shì,exactly; precisely; only; simply; just; (used correlatively with 也) even; even if,,
就算,jiù suàn,(coll.) even if,,
就要,jiù yào,will; shall; to be going to,,
居民,jū mín,resident; inhabitant,,
居然,jū rán,unexpectedly; to one's surprise; go so far as to,,
局,jú,narrow,,
局面,jú miàn,aspect; phase; situation,,
局长,jú zhǎng,bureau chief,,
举,jǔ,variant of 举,,
举办,jǔ bàn,to conduct; to hold,,
举行,jǔ xíng,"to hold (a meeting, ceremony etc)",,
巨大,jù dà,huge; immense; very large; tremendous; gigantic; enormous,,
句,gōu,variant of 勾,,
拒绝,jù jué,to refuse; to decline; to reject,,
具体,jù tǐ,concrete; definite; specific,,
具有,jù yǒu,to have; to possess,,
俱乐部,jù lè bù,club (the organisation or its premises) (loanword),,
剧,jù,"theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe",,
据,jù,variant of 据,,
据说,jù shuō,it is said that; reportedly,,
距离,jù lí,distance; to be apart from,,
聚,jù,to congregate; to assemble; to mass; to gather together; to amass; to polymerize,,
聚会,jù huì,party; gathering; to meet; to get together,,
卷,juǎn,"to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc)",,
决定,jué dìng,to decide (to do something); to resolve; decision; certainly,,
决赛,jué sài,finals (of a competition),,
绝,jué,to cut short; extinct; to disappear; to vanish; absolutely; by no means,,
绝对,jué duì,absolute; unconditional,,
觉,jiào,a nap; a sleep,,
觉得,jué de,to think that ...; to feel that ...; to feel (uncomfortable etc),,
军队,jūn duì,armed forces; troops,,
军事,jūn shì,military affairs; (attributive) military,,
咖啡,kā fēi,coffee (loanword),,
卡,kǎ,"to stop; to block; (computing) (coll.) slow; (loanword) card; truck (from ""car""); calorie (abbr. for 里); cassette",,
开,kāi,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format",,
开车,kāi chē,to drive a car,,
开发,kāi fā,to exploit (a resource); to open up (for development); to develop,,
开放,kāi fàng,to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality,,
开口,kāi kǒu,to open one's mouth; to start to talk,,
开始,kāi shǐ,to begin; beginning; to start; initial,,
开玩笑,kāi wán xiào,to play a joke; to make fun of; to joke,,
开心,kāi xīn,to feel happy; to rejoice; to have a great time; to make fun of sb,,
砍,kǎn,to chop; to cut down; to throw sth at sb,,
看,kān,to look after; to take care of; to watch; to guard,,
看出,kàn chū,to make out; to see,,
看到,kàn dào,to see,,
看法,kàn fǎ,way of looking at a thing; view; opinion,,
看见,kàn jiàn,to see; to catch sight of,,
看来,kàn lai,apparently; it seems that,,
看起来,kàn qǐ lai,seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be,,
看上去,kàn shang qu,it would appear; it seems (that),,
考,kǎo,to beat; to hit; variant of 考; to inspect; to test; to take an exam,,
考虑,kǎo lǜ,to think over; to consider; consideration,,
考试,kǎo shì,to take an exam; exam,,
考验,kǎo yàn,to test; to put to the test; trial; ordeal,,
烤,kǎo,to roast; to bake; to broil,,
靠,kào,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old),,
靠近,kào jìn,to be close to; to approach; to draw near,,
科,kē,branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb,,
科技,kē jì,science and technology,,
科学,kē xué,science; scientific knowledge; scientific; rational,,
科学家,kē xué jiā,scientist,,
颗,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",,
可,kě,(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very,,
可爱,kě ài,adorable; cute; lovely,,
可怜,kě lián,pitiful; pathetic; to have pity on,,
可能,kě néng,might (happen); possible; probable; possibility; probability; maybe; perhaps,,
可怕,kě pà,awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly,,
可是,kě shì,but; however; (used for emphasis) indeed,,
可惜,kě xī,it is a pity; what a pity; unfortunately,,
可以,kě yǐ,can; may; possible; able to; not bad; pretty good,,
渴望,kě wàng,to thirst for; to long for,,
克,Kè,"abbr. for 克罗地亚, Croatia; (Tw) abbr. for 克罗埃西亚, Croatia",,
刻,kè,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,,
客户,kè hù,client; customer,,
客人,kè rén,visitor; guest; customer; client,,
课,kè,subject; course; class; lesson; to levy; tax; form of divination,,
课程,kè chéng,course; academic program,,
肯,kěn,old variant of 肯,,
肯定,kěn dìng,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer),,
坑,kēng,pit; depression; hollow; tunnel; hole in the ground; (archaic) to bury alive; to hoodwink; to cheat (sb),,
空,kōng,empty; air; sky; in vain,,
空间,kōng jiān,"space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space",,
空气,kōng qì,air; atmosphere,,
空中,kōng zhōng,in the sky; in the air,,
恐怖,kǒng bù,terrible; frightful; frightening; terror; terrorist,,
恐惧,kǒng jù,to be frightened; fear; dread,,
恐怕,kǒng pà,fear; to dread; I'm afraid that...; perhaps; maybe,,
控制,kòng zhì,to control,,
口,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls",,
扣,kòu,"to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); (fig.) to tag a label on sb; (Tw) (loanword) code",,
哭,kū,to cry; to weep,,
苦,kǔ,bitter; hardship; pain; to suffer; to bring suffering to; painstakingly,,
库,kù,warehouse; storehouse; (file) library,,
裤子,kù zi,"variant of 裤子, trousers; pants",,
酷,kù,ruthless; strong (e.g. of wine); (loanword) cool; hip,,
块,kuài,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units",,
快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,,
快乐,kuài lè,happy; joyful,,
快速,kuài sù,fast; high-speed; rapid,,
宽,Kuān,surname Kuan,,
狂,kuáng,mad; wild; violent,,
困,kùn,to trap; to surround; hard-pressed; stranded; destitute,,
困难,kùn nan,difficult; challenging; straitened circumstances; difficult situation,,
扩大,kuò dà,to expand; to enlarge; to broaden one's scope,,
垃圾,lā jī,trash; refuse; garbage; (coll.) of poor quality; Taiwan pr. [lè sè],,
拉,lā,to pull; to play (a bowed instrument); to drag; to draw; to chat; (coll.) to empty one's bowels,,
辣,là,old variant of 辣,,
啦,lā,"(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat",,
啦啦队,lā lā duì,cheerleading squad,,
来,lái,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回来); ever since (as in 自古以来); for the past (amount of time); (prefix) the coming ...; the next ... (as in 来世); (between two verbs) in order to; (after a round number) approximately; (used after 得 to indicate possibility, as in 谈得来, or after 不 to indicate impossibility, as in 吃不来)",,
来到,lái dào,to arrive; to come,,
来源,lái yuán,source (of information etc); origin,,
来自,lái zì,to come from (a place); From: (in email header),,
蓝,Lán,surname Lan,,
蓝色,lán sè,blue (color),,
篮球,lán qiú,basketball,,
烂,làn,soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad,,
狼,láng,wolf,,
浪费,làng fèi,to waste; to squander,,
浪漫,làng màn,romantic,,
老,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,,
老板,lǎo bǎn,variant of 老板,,
老大,lǎo dà,old age; very; eldest child in a family; leader of a group; boss; captain of a boat; leader of a criminal gang,,
老公,lǎo gōng,(coll.) husband,,
老婆,lǎo pó,(coll.) wife,,
老人,lǎo rén,old man or woman; the elderly; one's aged parents or grandparents,,
老师,lǎo shī,teacher,,
乐,Lè,surname Le,,
乐队,yuè duì,band; pop group,,
了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",,
了解,liǎo jiě,to understand; to realize; to find out,,
勒,lè,"to rein in; to compel; to force; to carve; to engrave; (literary) to command; to lead; bridle; (physics) abbr. for 斯, lux",,
雷,Léi,surname Lei,,
类,lèi,kind; type; class; category; similar; like; to resemble,,
类似,lèi sì,similar; analogous,,
类型,lèi xíng,type; kind; category; (computer programming) type,,
累,lěi,to accumulate; to involve or implicate (Taiwan pr. [lèi]); continuous; repeated,,
冷,Lěng,surname Leng,,
冷静,lěng jìng,calm; cool-headed; dispassionate; (of a place) deserted; quiet,,
离,chī,mythical beast (archaic),,
离婚,lí hūn,to divorce,,
离开,lí kāi,to depart; to leave,,
礼,Lǐ,"surname Li; abbr. for 礼记, Classic of Rites",,
礼物,lǐ wù,gift; present,,
里,lǐ,variant of 里,,
里面,lǐ miàn,inside; interior; also pr. [lǐ mian],,
理,lǐ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,,
理解,lǐ jiě,to comprehend; to understand,,
理论,lǐ lùn,theory; to argue; to take notice of,,
理想,lǐ xiǎng,an ideal; a dream; ideal; perfect,,
理由,lǐ yóu,reason; grounds; justification,,
力,Lì,surname Li,,
力量,lì liang,power; force; strength,,
历史,lì shǐ,history,,
厉害,lì hai,"(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding; (of a person) stern; strict; harsh; shrewd; tough; (of an animal) fierce; (of a resemblance) striking; (of liquor or chili pepper) strong; (of bacteria) virulent",,
立,Lì,surname Li,,
立即,lì jí,immediately,,
立刻,lì kè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,,
利,Lì,surname Li,,
利润,lì rùn,profits,,
利益,lì yì,benefit; (in sb's) interest,,
利用,lì yòng,to exploit; to make use of; to use; to take advantage of; to utilize,,
例如,lì rú,for example; for instance; such as,,
俩,liǎ,two (colloquial equivalent of 两个); both; some,,
连,Lián,surname Lian,,
连接,lián jiē,to link; to join; to connect,,
连续,lián xù,continuous; in a row; serial; consecutive,,
联邦,lián bāng,federal; federation; commonwealth; federal union; federal state; union,,
联合,lián hé,to combine; to join; unite; alliance,,
联盟,lián méng,alliance; union; coalition,,
联系,lián xì,variant of 联系,,
脸,liǎn,face,,
练,liàn,to practice; to train; to drill; to perfect (one's skill); exercise; (literary) white silk; to boil and scour raw silk,,
练习,liàn xí,to practice; exercise; drill; practice,,
恋爱,liàn ài,(romantic) love; in love; to have an affair,,
良好,liáng hǎo,good; favorable; well; fine,,
