Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
恋爱,liàn ài,(romantic) love,我想谈恋爱。,I want to fall in love.,
良好,liáng hǎo,good,我们关系良好。,We have a good relationship.,
两,liǎng,two,我买了两本书。,I bought two books.,
亮,liàng,bright; light,房间很亮。,The room is bright.,"<img src=""bright.jpg"" />"
辆,liàng,classifier for vehicles,我买了一辆车。,I bought a car.,
量,liáng,to measure,请量一下尺寸。,Please measure the size.,
聊,liáo,(coll.) to chat,我们晚上聊聊吧。,Let's chat tonight.,"<img src=""chat.jpg"" />"
聊天,liáo tiān,to chat; to gossip,我们聊天吧。,Let's chat.,"<img src=""gossip.jpg"" />"
料,liào,material,我料到你会来。,I expected you would come.,
列,liè,to arrange,请列个名单。,Please make a list.,
邻居,lín jū,neighbor,我的邻居很好。,My neighbor is very nice.,"<img src=""neighbor.jpg"" />"
临时,lín shí,as the time draws near,我临时有事。,I have something come up at the last minute.,
灵,líng,quick,这药真灵。,This medicine really works.,
灵魂,líng hún,soul,他的灵魂很美。,His soul is beautiful.,"<img src=""soul.jpg"" />"
凌晨,líng chén,very early in the morning,凌晨三点我醒了。,I woke up at three in the morning.,
零,líng,zero,他考了零分。,He scored zero.,
领,lǐng,neck,请整理好衣领。,Please straighten your collar.,
领导,lǐng dǎo,lead,他是我们的领导。,He is our leader.,"<img src=""lead.jpg"" />"
领先,lǐng xiān,to lead,我们一直领先。,We are always ahead.,
领袖,lǐng xiù,leader,他是个好领袖。,He is a good leader.,
领域,lǐng yù,domain; sphere; field; territory; area,我选了这个领域。,I chose this field.,"<img src=""territory.jpg"" />"
令,líng,used in 脊令[ji2 ling2],这令我高兴。,This makes me happy.,
另,lìng,other,我们另找时间吧。,Let's find another time.,
另外,lìng wài,additional,我还有另外一本书。,I have another book.,
流,liú,to flow,泪水流下来。,The tears are flowing down.,"<img src=""flow.jpg"" />"
流行,liú xíng,(of a contagious disease etc) to spread; to propagate,这首歌很流行。,This song is very popular.,"<img src=""spread.jpg"" />"
留,liú,old variant of 留[liu2],我留下来。,I will stay.,
留下,liú xià,to leave behind,别把我留下。,Don't leave me behind.,
六,liù,six,我有六本书。,I have six books.,
录,lù,to carve wood,请录下这段视频。,Please record this video.,"<img src=""carve.jpg"" />"
录像,lù xiàng,to videotape,我在录像。,I am recording a video.,
路上,lù shang,on the road,我在路上等你。,I'll wait for you on the way.,
路线,lù xiàn,itinerary,我们走哪条路线？,Which route should we take?,
旅行,lǚ xíng,to travel,我想去旅行。,I want to travel.,"<img src=""travel.jpg"" />"
旅游,lǚ yóu,trip,我们打算去旅游。,We plan to travel.,"<img src=""trip.jpg"" />"
律师,lǜ shī,lawyer,我请了律师。,I hired a lawyer.,"<img src=""lawyer.jpg"" />"
率,lǜ,(bound form) ratio; rate; proportion,成功率高吗？,Is the success rate high?,"<img src=""proportion.jpg"" />"
绿,lǜ,used in names,这棵树很绿。,This tree is very green.,
绿色,lǜ sè,green,我喜欢绿色。,I like green.,"<img src=""green.jpg"" />"
乱,luàn,in confusion or disorder,房间太乱了。,The room is too messy.,
轮,lún,wheel; disk; ring,轮到你了。,It's your turn.,"<img src=""wheel.jpg"" />"
落,là,to leave out,我落在家了。,I left it at home.,
落后,luò hòu,to fall behind,我们别落后。,Let's not fall behind.,
妈,mā,ma,妈在厨房。,Mom is in the kitchen.,
妈妈,mā ma,mama,妈妈在厨房。,Mom is in the kitchen.,
麻烦,má fan,trouble; inconvenience,这事真麻烦。,This is really troublesome.,"<img src=""trouble.jpg"" />"
马上,mǎ shàng,at once,我马上到。,I'll be there right away.,
码,mǎ,(archaic) agate,你的密码是多少？,What is your password?,
骂,mà,to scold,别骂我。,Don't scold me.,"<img src=""scold.jpg"" />"
吗,má,(coll.) what?,你吃饭了吗？,Have you eaten?,
嘛,má,used in 唵嘛呢叭咪吽[an3 ma2 ni2 ba1 mi1 hong1],這是嘛？,What is this?,
埋,mái,to bury,我埋了颗种子。,I buried a seed.,"<img src=""bury.jpg"" />"
买,mǎi,to buy,我要买书。,I want to buy a book.,
买卖,mǎi mài,to buy and sell,他做小买卖。,He runs a small business.,
卖,mài,to sell,我在卖苹果。,I am selling apples.,
蛮,mán,barbarian,天气蛮冷的。,The weather is quite cold.,
满,Mǎn,Manchu ethnic group,他是满人。,He is of the Manchu ethnic group.,
满意,mǎn yì,satisfied,我对结果很满意。,I am very satisfied with the result.,"<img src=""satisfied.jpg"" />"
满足,mǎn zú,to satisfy,我已经很满足了。,I am already very satisfied.,"<img src=""satisfy.jpg"" />"
慢,màn,slow,他说话很慢。,He speaks very slowly.,
慢慢,màn màn,slowly; gradually,慢慢走，别着急。,"Walk slowly, don't rush.",
忙,máng,busy,我今天很忙。,I am very busy today.,"<img src=""busy.jpg"" />"
猫,māo,cat (CL:隻|只[zhi1]),我家有一只猫。,I have a cat at home.,"<img src=""cat.jpg"" />"
矛盾,máo dùn,contradiction,你的话有矛盾。,Your words are contradictory.,
冒,mào,old variant of 冒[mao4],外面冒烟了。,Smoke is coming out outside.,
冒险,mào xiǎn,to take risks,这太冒险了。,This is too risky.,
帽子,mào zi,hat,你的帽子真好看。,Your hat looks really nice.,
没,méi,(negative prefix for verbs) have not; not,我没吃饭。,I haven't eaten.,"<img src=""negative.jpg"" />"
没关系,méi guān xi,it doesn't matter,没关系，我不累。,"No problem, I'm not tired.",
没什么,méi shén me,it doesn't matter; it's nothing; never mind,别担心，没什么。,"Don't worry, it's nothing.",
没有,méi yǒu,haven't,我没有钱。,I don't have money.,
玫瑰,méi guī,rugosa rose (shrub) (Rosa rugosa) (CL:棵[ke1]),我喜欢玫瑰。,I like roses.,
媒体,méi tǐ,"media, esp. news media",媒体在报道这事。,The media is reporting on this.,"<img src=""media.jpg"" />"
每,měi,each,我每天喝咖啡。,I drink coffee every day.,
美,Měi,(bound form) the Americas (abbr. for 美洲[Mei3 zhou1]),他在美工作。,He works in the US.,
美好,měi hǎo,beautiful,拥有美好的一天。,Have a beautiful day.,"<img src=""beautiful.jpg"" />"
美丽,měi lì,beautiful,这朵花很美丽。,This flower is very beautiful.,
美女,měi nǚ,beautiful woman,那位美女是谁？,Who is that beautiful woman?,
美元,Měi yuán,American dollar; US dollar,这件衣服要多少美元？,How many US dollars is this shirt?,
妹,mèi,younger sister,我有个妹妹。,I have a younger sister.,
妹妹,mèi mei,younger sister,我妹妹很漂亮。,My younger sister is very pretty.,
魅力,mèi lì,charm,他很有魅力。,He is very charming.,"<img src=""charm.jpg"" />"
门口,mén kǒu,doorway,我在门口等你。,I'm waiting for you at the door.,
们,men,"plural marker for pronouns, and nouns referring to individuals",我们明天见。,See you tomorrow.,
蒙,méng,(literary) sincere; honest; genuine,外面下着蒙蒙雨。,It's drizzling outside.,"<img src=""genuine.jpg"" />"
猛,měng,ferocious,这只狗很猛。,This dog is very fierce.,
梦,mèng,dream (CL:場|场[chang2]),我梦见你了。,I dreamed of you.,
梦想,mèng xiǎng,(fig.) to dream of,你的梦想是什么？,What is your dream?,
迷,mí,to bewilder,他是篮球迷。,He is a basketball fan.,
秘密,mì mì,secret; private; confidential; clandestine,我有一个小秘密。,I have a little secret.,"<img src=""confidential.jpg"" />"
密码,mì mǎ,cipher; secret code,我忘了密码。,I forgot the password.,"<img src=""secret.jpg"" />"
免,miǎn,to excuse sb,老师免了我的作业。,The teacher exempted me from homework.,
免费,miǎn fèi,free (of charge),门票免费吗？,Is the ticket free?,
面,miàn,face,看那面旗。,Look at that flag.,
面对,miàn duì,to face; to confront,我们要面对现实。,We need to face reality.,"<img src=""confront.jpg"" />"
面临,miàn lín,to face sth; to be confronted with,我们面临选择。,We face a choice.,
面前,miàn qián,in front of,我面前有一杯水。,There is a cup of water in front of me.,
描述,miáo shù,to describe,请描述一下。,Please describe it.,"<img src=""describe.jpg"" />"
秒,miǎo,second (unit of time),请等我一秒。,Please wait one second for me.,
民主,mín zhǔ,democracy,民主很重要。,Democracy is very important.,
民族,mín zú,nationality; ethnic group,你是哪个民族的？,What is your ethnicity?,"<img src=""nationality.jpg"" />"
敏感,mǐn gǎn,sensitive,他对这个话题很敏感。,He is very sensitive about this topic.,"<img src=""sensitive.jpg"" />"
名,míng,name,他很有名。,He is very famous.,
名单,míng dān,list of names,名单上有你的名字。,Your name is on the list.,"<img src=""list.jpg"" />"
名人,míng rén,personage,他是个名人。,He is a celebrity.,
名字,míng zi,name (of a person or thing),你叫什么名字？,What is your name?,
明白,míng bai,clear; obvious; unequivocal,我现在明白了。,I understand now.,"<img src=""obvious.jpg"" />"
明明,míng míng,obviously,他明明来了。,He obviously came.,
明年,míng nián,next year,我明年去北京。,I will go to Beijing next year.,
明确,míng què,clear-cut; definite; explicit,请明确你的意思。,Please clarify your meaning.,"<img src=""explicit.jpg"" />"
明天,míng tiān,tomorrow,我们明天见。,See you tomorrow.,
明显,míng xiǎn,clear,他的变化很明显。,His change is very obvious.,
明星,míng xīng,star; celebrity,他是大明星。,He is a big star.,"<img src=""celebrity.jpg"" />"
命,mìng,life,别拿命开玩笑。,Don't joke with your life.,"<img src=""life.jpg"" />"
命令,mìng lìng,order,老板下了命令。,The boss gave an order.,
命运,mìng yùn,fate; destiny,他的命运改变了。,His fate changed.,"<img src=""destiny.jpg"" />"
摸,mō,to feel with the hand,别乱摸东西。,Don't touch things randomly.,
模式,mó shì,mode; pattern; model,换个新模式吧。,Let's try a new mode.,"<img src=""pattern.jpg"" />"
模型,mó xíng,model,我喜欢这个模型。,I like this model.,
某,mǒu,some,某人在等我。,Someone is waiting for me.,
母,mǔ,mother,母鸡下蛋了。,The hen laid an egg.,
母亲,mǔ qīn,mother,我爱我的母亲。,I love my mother.,
目标,mù biāo,target,我的目标是学好中文。,My goal is to learn Chinese well.,
目的,mù dì,purpose; aim; goal; target; objective,我的目的是学习中文。,My goal is to learn Chinese.,"<img src=""objective.jpg"" />"
目前,mù qián,at the present time,目前我在学习中文。,Currently I am learning Chinese.,
幕,mù,curtain or screen,音乐会开幕了。,The concert has started.,"<img src=""curtain.jpg"" />"
嗯,ēn,(a groaning sound),嗯，我知道了。,"Hmm, I know.",
拿,ná,old variant of 拿[na2],请拿一杯水。,Please get a cup of water.,
哪,nǎ,how,这是哪本书？,Which book is this?,
哪儿,nǎ r,where?,你去哪儿？,Where are you going?,
哪里,nǎ lǐ,where?,你在哪里？,Where are you?,
哪些,nǎ xiē,which ones?,你想要哪些？,Which ones do you want?,
那边,nà bian,over there,我们去那边吧。,Let's go over there.,
那儿,nà r,there,我们去那儿吧。,Let's go there.,
那里,nà li,there; that place,我们去那里吧。,Let's go there.,
那么,nà me,like that; in that way; to that extent,天气那么冷。,The weather is so cold.,
那时,nà shí,then,那时我很忙。,I was very busy then.,
那些,nà xiē,those,那些是什么？,What are those?,
那样,nà yàng,that kind,别那样做。,Don't do that.,
奶,nǎi,breast,我想喝奶。,I want to drink milk.,"<img src=""breast.jpg"" />"
奶奶,nǎi nai,(informal) grandma (paternal grandmother),我想奶奶了。,I miss grandma.,
耐心,nài xīn,to be patient,他很有耐心。,He is very patient.,
男,nán,(bound form) male,他是男的。,He is male.,"<img src=""male.jpg"" />"
男朋友,nán péng you,boyfriend,他是我男朋友。,He is my boyfriend.,
男人,nán rén,a man,那个男人很帅。,That man is very handsome.,
男生,nán shēng,schoolboy,那个男生是我同学。,That boy is my classmate.,
男性,nán xìng,the male sex,我是男性。,I am male.,
男子,nán zǐ,a man; a male,那位男子是我朋友。,That man is my friend.,
南方,nán fāng,south; southern direction,我想去南方。,I want to go south.,
难,nán,difficult (to...),这道题很难。,This question is very difficult.,
难道,nán dào,don't tell me ...,难道你忘了？,Don't tell me you forgot?,
难过,nán guò,to feel sad,我今天很难过。,I feel sad today.,
难受,nán shòu,to feel unwell,我今天很难受。,I feel very unwell today.,
难以,nán yǐ,"hard to (predict, imagine etc)",未来难以预测。,The future is hard to predict.,"<img src=""predict.jpg"" />"
脑袋,nǎo dai,head,他挠了挠脑袋。,He scratched his head.,
脑子,nǎo zi,brains,我脑子转不动了。,My brain isn't working.,
呢,ne,"(sentence-final particle) used in questions to link back to prior discourse or context (""what about...?"", ""and...?"")",你呢？,What about you?,"<img src=""sentence.jpg"" />"
内,nèi,inside,请进室内。,Please come inside.,"<img src=""inside.jpg"" />"
内部,nèi bù,interior,内部空间很大。,The interior space is large.,"<img src=""interior.jpg"" />"
内容,nèi róng,content; substance; details,这本书的内容很有趣。,The content of this book is very interesting.,"<img src=""substance.jpg"" />"
内心,nèi xīn,heart; innermost being,我内心很平静。,I feel calm inside.,"<img src=""heart.jpg"" />"
能不能,néng bùnéng,Not found,能不能帮我？,Can you help me?,
能否,néng fǒu,whether one can; whether it is possible,能否帮帮我？,Could you help me?,"<img src=""whether.jpg"" />"
能够,néng gòu,to be capable of,他能够说中文。,He can speak Chinese.,"<img src=""capable.jpg"" />"
能力,néng lì,capability,我有这个能力。,I have this ability.,
能量,néng liàng,energy,我需要一点能量。,I need a little energy.,
能源,néng yuán,energy sources; energy,我们需要更多能源。,We need more energy.,
你,nǐ,"you (informal, as opposed to courteous 您[nin2])",你好吗？,How are you?,
你们,nǐ men,you (plural),你们好吗？,How are you all?,
年代,nián dài,a decade of a century (e.g. the Sixties),我们喜欢那个年代。,We like that era.,"<img src=""century.jpg"" />"
年度,nián dù,"year (e.g. school year, fiscal year)",年度聚会真开心。,The annual gathering was really fun.,"<img src=""fiscal.jpg"" />"
年纪,nián jì,age,你年纪多大？,How old are you?,
年龄,nián líng,(a person's) age,你的年龄是多少？,What is your age?,
年轻,nián qīng,young,她看起来很年轻。,She looks young.,
娘,niáng,mother,我娘在家。,My mother is at home.,
尿,niào,to urinate,我想去尿尿。,I want to go pee.,
您,nín,"you (courteous, as opposed to informal 你[ni3])",您好吗？,How are you?,
牛奶,niú nǎi,cow's milk,我想喝牛奶。,I want to drink milk.,
农民,nóng mín,peasant; farmer,我爸爸是农民。,My father is a farmer.,
弄,lòng,lane,我家住在弄里。,I live in the alley.,
努力,nǔ lì,to make an effort; to try hard; to strive,请继续努力。,Please keep trying hard.,"<img src=""effort.jpg"" />"
女,nǚ,female,她是我的女儿。,She is my daughter.,"<img src=""female.jpg"" />"
女儿,nǚ ér,daughter,我女儿很乖。,My daughter is very well-behaved.,
女朋友,nǚ péng you,girlfriend,我女朋友很漂亮。,My girlfriend is very pretty.,
女人,nǚ rén,woman,那个女人很漂亮。,That woman is very pretty.,
女生,nǚ shēng,schoolgirl,那个女生是我同学。,That girl is my classmate.,
女士,nǚ shì,lady,这位女士请坐。,"Madam, please take a seat.",
女性,nǚ xìng,woman,很多女性喜欢旅行。,Many women like traveling.,
女子,nǚ zǐ,woman,那位女子很漂亮。,That woman is very pretty.,
暖,nuǎn,old variant of 暖[nuan3],天气真暖。,The weather is really warm.,
哦,é,to chant,我喜欢哦诗。,I like to chant poems.,
欧洲,Oū zhōu,Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1]),我想去欧洲。,I want to go to Europe.,
偶尔,ǒu ěr,occasionally,我偶尔喝咖啡。,I occasionally drink coffee.,
偶像,ǒu xiàng,idol,他是我的偶像。,He is my idol.,
爬,pá,to crawl,小猫爬上树了。,The cat climbed the tree.,"<img src=""crawl.jpg"" />"
拍,pāi,to pat,请帮我拍个照。,Please take a photo for me.,"<img src=""pat.jpg"" />"
拍摄,pāi shè,to take (a picture); to shoot (a film),我在拍摄照片。,I am taking photos.,
拍照,pāi zhào,to take a picture,请帮我拍照。,Please take a picture for me.,
排,pái,to arrange in order; to line up,我们排成一队吧。,Let's line up in a row.,"<img src=""line.jpg"" />"
排除,pái chú,to eliminate,先排除干扰。,Rule out distractions first.,"<img src=""eliminate.jpg"" />"
牌,pái,signboard; plaque; plate; tablet (CL:塊|块[kuai4]),他抽到一张牌。,He drew a card.,"<img src=""plate.jpg"" />"
派,pài,used in 派司[pa1 si5],公司派他出差。,The company sent him on a business trip.,
盘,pán,tray; plate; dish,这盘菜真好吃。,This dish is really delicious.,"<img src=""dish.jpg"" />"
判,pàn,(bound form) to differentiate; to distinguish,这事不好判。,It is hard to judge.,"<img src=""differentiate.jpg"" />"
判断,pàn duàn,to judge; to determine; judgment,这很难判断。,It's hard to judge.,
判决,pàn jué,judgment (by a court of law),法院今天下判决。,The court will give the verdict today.,
旁,páng,one side,我坐在旁边。,I sit on the side.,
旁边,páng biān,side; adjacent place,我坐在旁边。,I'm sitting on the side.,"<img src=""adjacent.jpg"" />"
胖,pán,healthy,他最近变胖了。,He has gotten a bit chubby lately.,
抛,pāo,to throw,他把球抛给我。,He threw the ball to me.,"<img src=""throw.jpg"" />"
跑,páo,(of an animal) to paw (the ground),马跑地。,The horse paws the ground.,"<img src=""paw.jpg"" />"
泡,pāo,puffed; swollen; spongy,我们去那个小泡吧。,Let's go to that small lake.,
陪,péi,to accompany,我陪你吃饭。,I'll eat with you.,"<img src=""accompany.jpg"" />"
培训,péi xùn,to cultivate,明天有培训吗？,Is there training tomorrow?,"<img src=""cultivate.jpg"" />"
培养,péi yǎng,to cultivate,父母培养孩子。,Parents nurture children.,
赔偿,péi cháng,to compensate,请赔偿我的损失。,Please compensate for my loss.,
配,pèi,to join,衣服很配你。,The clothes suit you well.,
配合,pèi hé,matching,请配合一下。,Please cooperate.,
喷,pēn,to spout; to spurt; to spray; to puff,水从管子里喷出来。,Water is spraying out of the pipe.,"<img src=""puff.jpg"" />"
朋友,péng you,friend,他是我的朋友。,He is my friend.,"<img src=""friend.jpg"" />"
碰到,pèng dào,to come across,昨天碰到你了。,I ran into you yesterday.,"<img src=""across.jpg"" />"
批,pī,to ascertain,我买了一批书。,I bought a batch of books.,
批评,pī píng,to criticize; criticism,老师批评了我。,The teacher criticized me.,"<img src=""criticism.jpg"" />"
批准,pī zhǔn,to approve; to ratify,请批准我的申请。,Please approve my application.,"<img src=""approve.jpg"" />"
皮肤,pí fū,skin,我的皮肤很干。,My skin is very dry.,
啤酒,pí jiǔ,beer (loanword),我想喝啤酒。,I want to drink beer.,
匹,pī,(bound form) matching; comparable to,找匹合适的。,Find a suitable mate.,
屁股,pì gu,buttocks,我摔到屁股了。,I fell on my butt.,
偏,piān,to lean,衣服偏小了。,The clothes are a bit small.,
篇,piān,sheet,我写了一篇作文。,I wrote an essay.,"<img src=""sheet.jpg"" />"
片,piān,disk,请给我一片纸。,Please give me a sheet of paper.,
骗,piàn,to cheat,别骗我。,Don't lie to me.,"<img src=""cheat.jpg"" />"
票,piào,ticket,我有一张票。,I have a ticket.,
漂亮,piào liang,pretty; beautiful,这花真漂亮。,This flower is really beautiful.,
拼,pīn,to piece together; to put together,拼一把吧！,Let's give it a shot!,"<img src=""together.jpg"" />"
频道,pín dào,frequency,换个频道吧。,Let's change the channel.,"<img src=""frequency.jpg"" />"
品,pǐn,(bound form) article; commodity; product; goods,我在品茶。,I am tasting tea.,"<img src=""commodity.jpg"" />"
品牌,pǐn pái,brand; brand name,这个品牌很好。,This brand is very good.,
平衡,píng héng,balance,生活需要平衡。,Life needs balance.,"<img src=""balance.jpg"" />"
平静,píng jìng,calm; tranquil; serene,湖面很平静。,The lake is very tranquil.,
平均,píng jūn,average; on average,平均价格是多少？,What is the average price?,"<img src=""average.jpg"" />"
平时,píng shí,ordinarily,平时你几点起床？,What time do you usually wake up?,
评估,píng gū,to evaluate,请评估这个方案。,Please evaluate this plan.,"<img src=""evaluate.jpg"" />"
评价,píng jià,to evaluate,请评价一下。,Please evaluate this.,
评论,píng lùn,to comment on,你的评论很棒。,Your comment is great.,
评委,píng wěi,evaluation committee; judging panel,评委是谁？,Who is the judge?,"<img src=""committee.jpg"" />"
苹果,píng guǒ,Apple (American tech company),我喜欢吃苹果。,I like to eat apples.,
屏幕,píng mù,"screen (TV, computer or movie)",别一直看屏幕,Don't keep staring at the screen.,
瓶,píng,bottle,请给我一瓶水。,Please give me a bottle of water.,
破,pò,broken,衣服破了一个洞。,The clothes have a hole.,
破坏,pò huài,destruction,别破坏我的计划。,Don't ruin my plan.,"<img src=""destruction.jpg"" />"
普通,pǔ tōng,common,我就是个普通人。,I am just an ordinary person.,
七,qī,seven,我有七本书。,I have seven books.,"<img src=""seven.jpg"" />"
妻子,qī zǐ,wife and children,我妻子喜欢做饭。,My wife likes cooking.,
期待,qī dài,to look forward to,我很期待你的回复。,I look forward to your reply.,
期间,qī jiān,period of time,出差期间我很忙。,I was very busy during the trip.,"<img src=""period.jpg"" />"
期望,qī wàng,to have expectations,我期望你能来。,I hope you can come.,
其,qí,his,其书在桌上。,His book is on the table.,
其次,qí cì,next,其次，我们吃饭吧。,"Next, let's eat.",
其实,qí shí,actually; in fact; really,其实我不饿。,"Actually, I'm not hungry.","<img src=""actually.jpg"" />"
其他,qí tā,other,我要这个，其他不要。,"I want this one, not the others.",
其中,qí zhōng,among,五本书，其中一本丢了。,"Of the five books, one is missing.",
奇怪,qí guài,strange,这事真奇怪。,This is really strange.,
骑,jì,(Tw) saddle horse,他骑马打仗。,He fights on horseback.,"<img src=""horse.jpg"" />"
企业,qǐ yè,company; firm; enterprise; corporation,我在一家企业工作。,I work at a company.,"<img src=""enterprise.jpg"" />"
启动,qǐ dòng,to start (a machine),我们启动计划吧。,Let's launch the plan.,
起,qǐ,to rise,我起床了。,I got up.,
起床,qǐ chuáng,to get out of bed; to get up,你几点起床？,What time do you get up?,
起来,qǐ lai,to stand up; to get up,他站起来。,He stands up.,"<img src=""stand.jpg"" />"
起诉,qǐ sù,to sue,我要起诉他,I want to sue him.,"<img src=""sue.jpg"" />"
气,qì,gas; air,我有点生气。,I am a little angry.,
气氛,qì fēn,atmosphere; mood,今天的气氛很好。,The atmosphere today is very good.,"<img src=""atmosphere.jpg"" />"
汽车,qì chē,car,我坐汽车去学校。,I take the car to school.,
千,qiān,thousand,我有一千块钱。,I have a thousand yuan.,
千万,qiān wàn,ten million,千万别迟到。,Absolutely don't be late.,"<img src=""million.jpg"" />"
牵,qiān,to lead along,妈妈牵着我的手。,Mom holds my hand.,
签,qiān,to sign one's name,请在这里签。,Please sign here.,"<img src=""sign.jpg"" />"
签名,qiān míng,to sign (one's name with a pen etc),请在这里签名。,Please sign here.,
前,qián,front,我在前面等你。,I'll wait for you ahead.,
前进,qián jìn,to go forward,我们继续前进。,Let's keep moving forward.,
前面,qián miàn,ahead,请坐前面。,Please sit in the front.,"<img src=""ahead.jpg"" />"
前往,qián wǎng,to leave for; to proceed towards; to go to,我明天前往北京。,I am going to Beijing tomorrow.,
潜力,qián lì,potential; latent capacity,他有很大潜力。,He has great potential.,"<img src=""potential.jpg"" />"
欠,qiàn,to owe,我欠你一百块。,I owe you a hundred yuan.,
强大,qiáng dà,big and strong; formidable; powerful,他的团队很强大。,His team is very strong.,"<img src=""powerful.jpg"" />"
强调,qiáng diào,to emphasize (a statement),我强调一下规则。,I'll emphasize the rules.,
强烈,qiáng liè,strong; intense,阳光太强烈了。,The sunlight is very intense.,"<img src=""intense.jpg"" />"
抢,qiāng,(literary) to knock against (esp. to knock one's head on the ground in grief or rage),他头抢地。,He knocked his head on the ground.,"<img src=""grief.jpg"" />"
抢劫,qiǎng jié,to rob,他抢劫了银行。,He robbed a bank.,"<img src=""rob.jpg"" />"
桥,qiáo,bridge,我们过桥吧。,Let's cross the bridge.,"<img src=""bridge.jpg"" />"
瞧,qiáo,to look at,你瞧见了吗？,Did you see it?,
巧克力,qiǎo kè lì,(loanword) chocolate,我喜欢吃巧克力。,I like to eat chocolate.,"<img src=""chocolate.jpg"" />"
且,qiě,and,且看再说吧。,Let's wait and see first.,
切,qiē,to cut; to slice; to carve,请切苹果。,Please cut the apple.,"<img src=""slice.jpg"" />"
亲,qīn,parent,我们很亲。,We are very close.,
亲爱,qīn ài,dear,亲爱的，你好吗？,"Dear, how are you?",
亲自,qīn zì,personally,我亲自去接你。,I'll go pick you up myself.,
青,Qīng,short name for Qinghai 青海[Qing1 hai3],我去过青。,I have been to Qinghai.,
青年,qīng nián,youth,他是个好青年。,He is a good young man.,
轻,qīng,light,这个箱子很轻。,This box is very light.,
轻松,qīng sōng,light,今天工作很轻松。,Today's work is very relaxing.,
轻易,qīng yì,easy; simple,别轻易相信别人。,Don't trust others easily.,"<img src=""easy.jpg"" />"
倾向,qīng xiàng,trend,他有当老师的倾向。,He has a tendency to become a teacher.,"<img src=""trend.jpg"" />"
清,Qīng,Qing (Wade-Giles: Ch'ing) dynasty of China (1644–1911),他喜欢清朝。,He likes the Qing dynasty.,"<img src=""dynasty.jpg"" />"
清楚,qīng chu,clear,请说清楚点。,Please speak more clearly.,
清理,qīng lǐ,to clear up,我要清理房间。,I need to clean up the room.,
清醒,qīng xǐng,clear-headed,我需要清醒一下。,I need to clear my head.,
情,qíng,(bound form) feelings; emotion; sentiment; passion,他对我有情,He has feelings for me.,
情报,qíng bào,information; intelligence,我收到了重要情报。,I received important intelligence.,"<img src=""intelligence.jpg"" />"
情感,qíng gǎn,feeling,这种情感很真实。,This feeling is very real.,
情况,qíng kuàng,circumstances; state of affairs; situation,情况怎么样？,How is the situation?,
情绪,qíng xù,mood,他今天情绪不好。,He's in a bad mood today.,"<img src=""mood.jpg"" />"
请,qǐng,to ask,请你吃饭。,I will treat you to a meal.,"<img src=""ask.jpg"" />"
请求,qǐng qiú,to request; to ask,我请求帮忙。,I request help.,
请问,qǐng wèn,"Excuse me, may I ask...?",请问厕所在哪里？,"Excuse me, where is the restroom?",
庆祝,qìng zhù,to celebrate,我们庆祝生日。,We are celebrating a birthday.,"<img src=""celebrate.jpg"" />"
求,qiú,to seek,我求你帮帮我。,I'm begging you to help me.,"<img src=""seek.jpg"" />"
球,qiú,ball used for playing games (variant of 球[qiu2]),我要买一个球。,I want to buy a ball.,"<img src=""ball.jpg"" />"
球队,qiú duì,"sports team (basketball, soccer, football etc)",我们球队赢了。,Our team won.,"<img src=""football.jpg"" />"
球员,qiú yuán,(ball sports) player; team member,这位球员很强。,This player is very strong.,
区别,qū bié,difference,它们有什么区别？,What's the difference between them?,
区域,qū yù,area,这个区域很安静。,This area is very quiet.,"<img src=""area.jpg"" />"
取,qǔ,to take,我去银行取钱。,I'm going to the bank to get some money.,
取得,qǔ dé,to acquire; to get; to obtain,我取得了好成绩。,I got good grades.,"<img src=""acquire.jpg"" />"
取消,qǔ xiāo,to cancel; to call off; to revoke; to rescind,请取消会议。,Please cancel the meeting.,"<img src=""cancel.jpg"" />"
娶,qǔ,to take a wife,他打算娶她。,He plans to marry her.,
去,qù,to go,你去哪里？,Where are you going?,
去年,qù nián,last year,去年我去北京。,Last year I went to Beijing.,
去世,qù shì,to pass away,爷爷去年去世了。,Grandpa passed away last year.,
圈,juān,to confine,他把羊圈起来了。,He penned the sheep up.,"<img src=""confine.jpg"" />"
全部,quán bù,whole; all,全部在这里。,Everything is here.,
全都,quán dōu,all,我们全都到了。,We all arrived.,
全国,quán guó,whole nation,全国都有分店。,There are branches nationwide.,
全力,quán lì,with all one's strength,我会全力帮你。,I'll help you with all my strength.,
全面,quán miàn,all-around,他的知识很全面。,His knowledge is very comprehensive.,
全球,quán qiú,the whole world,全球都在用智能手机。,People around the world use smartphones.,"<img src=""world.jpg"" />"
全身,quán shēn,the whole body,我全身都湿了。,My whole body is soaked.,
全世界,quán shì jiè,worldwide,全世界都在看你。,The whole world is watching you.,
全体,quán tǐ,all,我们全体都到了。,We all arrived.,
全新,quán xīn,all new; completely new,这是全新电脑。,This is a completely new computer.,"<img src=""completely.jpg"" />"
权力,quán lì,power,你有权力决定吗？,Do you have the power to decide?,
权利,quán lì,right (i.e. an entitlement to sth),你有投票的权利。,You have the right to vote.,
拳,quán,fist,他打了一拳。,He threw a punch.,"<img src=""fist.jpg"" />"
