Word,Meaning,Pinyin,Example,Translation
交往,"giao du, quan hệ qua lại",jiāowǎng,我跟他没有交往。,tôi và anh ấy không có mối quan hệ qua lại với nhau.
吊,treo,diào,门前吊着两盏红灯。,trước cửa treo hai ngọn đèn đỏ.
排斥,"bài xích, bài bác",páichì,排斥异己。,bài xích những người không ăn cánh.
卫星,vệ tinh,wèixīng,卫星城市,thành phố vệ tinh
波涛汹涌,sóng cuộn trào dâng,bōtāoxiōngyǒng,,
乙,"thứ hai, ất, B",yǐ,,
完备,hoàn toàn,wánbèi,工具完备。,công cụ
公斤,kilogam,gōngjīn,,
枝,"cành, nhánh,ngành",zhī,树枝,cành cây; nhành cây
口,miệng,kǒu,口轻。,ăn nhạt.
同学,bạn học,tóngxué,我们自幼同学。,chúng tôi học chung từ bé.
亚军,á quân,yàjūn,,
股东,"cổ đông, người góp vốn",gǔdōng,,
随身,"tuùy thân, di động",suíshēn,,
适宜,"thủ tục, công việc",shìyí,浓淡适宜。,đậm nhạt vừa phải.
现象,hiện tượng,xiànxiàng,社会生活现象。,Những hiện tượng trong cuộc sống xã hội.
讨价还价,"mặc cả, trả giá",tǎojiàhuánjià,,
聋哑,người câm điếc,lóng yǎ,,
成绩,"thành tựu, thành tích",chéngjī,学习成绩。,thành tích học tập.
现成,"có sẵn, vốn có",xiànchéng,现成儿饭。,cơm đã có sẵn
香,thơm,xiāng,香 水。,nước hoa; dầu thơm
干,làm,gàn,干犯,can phạm
欠,nợ,qiàn,欠伸。,ngáp và vươn vai.
船舶,thuyền bè,chuánbó,,
防疫,phòng dịch,fángyì,防疫针,tiêm phòng dịch
严密,"chặt chẽ, kín đáo",yánmì,瓶子盖得很严密。,bình đậy rất kín
与其,thà... Còn hơn,yǔqí,与其坐车，不如坐船。,thà đi tàu còn hơn đi xe.
装,"hóa trang, trang phục",zhuāng,装饰,trang sức
再三,"nhiều lần, hết lần này tới lần khác",zài sān,再三再四,ba bốn lần; nhiều lần
信息,thông tin,xìnxī,,
系领带,thắt cà vạt,xì lǐngdài,,
也许,có lẽ,yěxǔ,你仔细找一找，也许能找到。,"anh tìm kỹ đi, biết đâu có thể tìm được."
证书,giấy chứng nhận,zhèngshū,结婚证书,giấy chứng nhận kết hôn; giấy đăng ký kết hôn.
溶解,hòa tan,róngjiě,,
披,"khoác, choàng",pī,披着斗篷。,khoác áo tơi.
提纲,đề cương,tígāng,发言提纲,đề cương phát biểu
人事,nhân sự,rénshì,人事科。,phòng nhân sự.
悲哀,"bi ai, đau buồn",bēi'āi,一种幻灭似的悲哀，抓住了他的心灵。,một nỗi thương tâm nát tan xiết lấy tâm hồn anh.
问题,vến đề,wèntí,这次考试一共有五个问题。,lần thi này có tất cả năm đề.
探索,khám phá,tànsuǒ,探索人生道路,tìm kiếm con đường nhân sinh
理解,hiểu,lǐjiě,互相理解。,hiểu nhau.
片,tấm,piàn,布片儿。,tấm vải.
威胁,"đe dọa, uy hiếp",wēixié,威胁利诱,đe doạ dụ dỗ
黑,dđan,hēi,黑板,bảng đen
和,và,hé,温和,ôn hoà
号召,"hiệu triệu, kêu gọi",hàozhào,响应号召,hưởng ứng lời kêu gọi
博物馆,viện bảo tàng,bówùguǎn,,
陶瓷,đồ gốm,táocí,,
平均,bình quân,píngjūn,二十筐梨重一千八百斤，平均每筐重九十斤。,"hai chục sọt lê nặng 1800 cân, trung bình mỗi sọt nặng 90 cân."
支,"đội, đơn vị (bản, bài cây, cán)",zhī,支帐篷。,chống lều
中文,tiếng Trung,zhōngwén,汉语是指口讲、耳听的语言，中文还包括阅读和书写的内容。,"Hán ngữ chỉ ngôn ngữ miệng nói tai nghe, Trung văn còn bao gồm nội dung đọc và viết."
做主,"làm chủ, quyết định",zuòzhǔ,当家做主,quyết định việc nhà.
说服,thuyết phục,shuōfú,,
卧室,phòng ngủ,wòshì,,
务实,"cụ thể, phải thiết thực",wùshí,,
无微不至,tỉ mỉ,wúwēibùzhì,小杨无微不至地照顾瘫痪的妻子。,Tiểu Dương chăm sóc người vợ bại liệt tỉ mỉ chu đáo.
拍,"đập, vỗ, phủi",pāi,拍球。,đập bóng.
怠慢,"lãnh đạm, thờ ơ, lạnh nhạt",dàimàn,不要怠慢了客人。,không nên lãnh đạm với khách.
可爱,dễ thương,kě'ài,孩子活泼。,đứa trẻ hoạt bát đáng yêu.
奋斗,phấn đấu,fèndòu,艰苦奋斗,gian khổ phấn đấu
默默,âm thầm,mòmò,默默无言。,lặng lẽ không nói lời nào.
刊物,"sách báo, báo chí",kānwù,定期刊物。,tập san định kỳ.
上当,bị lừa,shàngdàng,,
然而,tuy nhiên,rán'ér,他虽然失败了很多次，然而并不灰心。,"mặc dù anh ấy đã thất bại nhiều lần, nhưng mà anh ấy hoàn toàn không nản lòng."
全局,tình hình chung,quánjú,胸怀全局。,suy nghĩ cho toàn cuộc.
窄,hẹp,zhǎi,狭窄,chật hẹp
得力,được lợi,délì,得力于平时的勤学苦练。,hiệu quả từ việc học hành chăm chỉ hàng ngày.
无偿,"không trả giá, không hoàn lại",wúcháng,无偿援助。,viện trợ không hoàn lại; viện trợ cho không.
沮丧,"ủ rũ, chán",jǔsàng,沮丧敌人的精神。,làm cho địch quân xuống tinh thần.
天生,trời sinh,tiānshēng,天生的一对,một cặp trời sinh; xứng đôi vừa lứa.
乐意,"vui lòng, tự nguyện",lèyì,这件事只要你乐意办，保险办得好。,"chuyện này chỉ có bạn vui lòng làm, bảo đảm sẽ làm rất tốt."
你,"bạn, anh",nǐ,你校。,trường anh; trường các anh.
笼罩,bao phủ,lóngzhào,晨雾笼罩在湖面上。,sương mù bao phủ mặt hồ.
收拾,"thu dọn, sửa chữa",shōushí,收拾残局。,thu dọn tàn cục.
玻璃,thủy tinh,bōlí,有机玻璃。,kính hữu cơ
欺骗,lừa dối,qīpiàn,欺骗世界舆论。,Đánh lừa dư luận thế giới.
对策,biện pháp đối phó,duìcè,商量对策,thương lượng đối sách
敌视,"căm thù, coi như kẻ thù",díshì,互相敌视,coi nhau như kẻ thù
警察,cảnh sát,jǐngchá,,
固然,"tất nhiên, cố nhiên",gùrán,这样办固然稳当，但是太费事，怕缓不济急。,"làm như thế dĩ nhiên là chắc chắn nhất, nhưng phí công quá, e không giải quyết kịp thời công việc."
领土,lãnh thổ,lǐngtǔ,保卫国家的领土完整。,Bảo vệ toàn vẹn lãnh thổ của đất nước.
出色,xuất sắc,chūsè,他们出色地完成了任务。,họ đã hoàn thành xuất sắc nhiệm vụ.
破,"hỏng, vỡ, bể",pò,破烂。,vỡ nát.
高涨,"dâng cao, tăng vọt",gāozhàng,,
储存,,chúcún,,
官方,chính thức,guānfāng,官方消息,tin chính thức; tin tức phía chính phủ
凡是,"phàm là, hẽ là",fánshì,凡是新生的事物总是在同旧事物的斗争中成长起来的。,phàm là những cái mới bao giờ cũng lớn lên trong cuộc đấu tranh chống lại cái cũ.
共鸣,cộng hưởng,gòngmíng,诗人的爱国主义思想感染了读者，引起了他们的共鸣。,tư tưởng yêu nước của nhà thơ đã truyền cho người đọc và gây nên sự đồng cảm giữa họ.
滚,"lăn, lộn, cút xéo",gǔn,荷叶上滚着亮晶晶的水珠。,những giọt nước long lanh lăn trên tàu lá sen.
身材,"vóc dáng, dáng người",shēncái,身材高大。,vóc dáng cao to.
离婚,ly dị,líhūn,,
民用,"dân dụng, dân sự",mínyòng,民用航空。,hàng không dân dụng.
眼光,thị lực,yǎnguāng,大家的眼光都集中到他身上。,ánh mắt của mọi người đều đổ dồn vào nó
不,không,bù,不去,không đi
寄托,"gửi gắm,ký thác",jìtuō,把孩子寄托在邻居家里。,gởi nhờ con bên nhà hàng xóm.
抓紧,"nắm chắc, nắm vững",zhuājǐn,抓紧时间,nắm chắc thời gian
拦,"ngăn cản, chặn",lán,前面有一个道河拦住了去路。,phía trước có con sông chặn mất đường đi.
就职,nhận chức nhậm chức,jiùzhí,,
泄露,rò rỉ,xièlòu,泄露秘密。,tiết lộ bí mật
环境,môi trường,huánjìng,环境优美,cảnh vật chung quanh tươi đẹp
歪曲,xuyên tạc,wāiqū,,
鼓励,khuyến khích,gǔlì,车间主任鼓励大家努力完成增产指标。,chủ nhiệm phân xưởng khuyến khích mọi người nỗ lực hoàn thành chỉ tiêu tăng gia sản xuất.
关心,quan tâm,guānxīn,关心群众生活,quan tâm đến đời sống nhân dân.
隐约,"lờ mờ, láng máng",yǐnyuē,远处的高楼大厦隐约可见。,những toà nhà cao tầng thấp thoáng ở nơi xa.
世界观,thế giới quan,shìjièguān,,
亲身,"bản thân, tự mình",qīnshēn,这些都是我亲身经历的事。,những việc này đều là những việc mà bản thân tôi đã trải qua.
焦点,tiêu điểm,jiāodiǎn,争论的焦点。,điểm tập trung tranh luận.
党,đảng,dǎng,党章,điều lệ Đảng
升,lít,shēng,上升。,lên cao.
搭档,"người hợp tác, cộng tác",dādàng,我们两个人搭档吧。,hai chúng ta cộng tác với nhau nhé!
齐心协力,đồng tâm hiệp lực,qíxīn xiélì,,
堆,"tích tụ, chồng chất",duī,粮食堆满仓，果子堆成山。,"lương thực chất đầy kho, hoa quả chất cao như núi."
开朗,"rộng rãi, thoáng mát, sáng sủa",kāilǎng,胸怀开朗，精神焕发。,"trong lòng thoải mái, tinh thần phấn chấn."
朝气蓬勃,hăng hái bồng bột như  khí thế ban mai,zhāoqì péngbó,,
冤枉,"bị oan, chịu oan",yuānwang,冤枉官司,bị oan kiện cáo
质量,chất lượng,zhìliàng,工程质量,chất lượng công trình.
层次,"trình tự, cấp độ",céngcì,层次清楚。,có lớp lang rõ ràng; có trình tự mạch lạc; đâu ra đó
管理,quản lý,guǎnlǐ,管理财务,quản lý tài vụ
讲座,tọa đàm.báo cáo,jiǎngzuò,汉语拼音讲座。,toạ đàm về phiên âm Hán Ngữ.
真正,"chân chính, thật sự",zhēnzhèng,群众是真正的英雄。,quần chúng chính là anh hùng chân chính.
报社,"tòa soạn, tòa báo",bàoshè,,
或许,hoặc,huòxǔ,他没来，或许是病了。,"anh ấy không đến, có lẽ bị bệnh rồi."
乖,"tốt,ngoan",guāi,小宝很乖，阿姨都喜欢他。,"tiểu Bảo rất ngoan, các dì đều rất thích nó."
本质,bản chất,běnzhí,事物本质。,bản chất của sự vật
打算,"dự định, có ý định",dǎsuàn,通盘打算,tính toán mọi mặt; tính toán đầy đủ.
开幕式,lễ khai mạc,kāimù shì,,
因素,nhân tố,yīnsù,学习先进经验是提高生产的重要因素之一。,học tập kinh nghiệm tiên tiến là một trong những nhân tố quan trọng nâng cao năng suất sản xuất.
频道,kênh,píndào,,
旗袍,áo dài,qípáo,,
橙,trái cam,chéng,,
当心,"cẩn thận, coi chừng",dāngxīn,慢点儿走，当心地上滑。,"đi chậm thôi, coi chừng đường trơn."
采访,"săn tin, phỏng vấn",cǎifǎng,采访新闻。,săn tin
当面,trước mặt,dāngmiàn,当面对质,đối chất nhau
惊奇,"kinh ngạc,lấy làm lạ",jīngqí,,
要不,nếu không thì,yào bù,从上海到武汉，可以搭长江轮船，要不绕道坐火车也行。,"từ Thượng Hải đi Vũ Hán, có thể đi bằng tàu thuỷ sông Trường Giang, nếu không thì đi xe lửa vòng cũng được."
误差,lỗi,wùchā,相对误差,sai số tương đối
道德,đạo đức,dàodé,,
符号,ký hiệu,fúhào,标点符号,dấu chấm câu
拼搏,đấu tranh,pīnbó,,
治理,"thống trị, quản lý",zhìlǐ,治理国家,quản lý nhà nước; quản lý đất nước.
达到,"đến, đạt được",dádào,达得到。,đạt được
留念,"lưu niệm, kỷ niệm",liúniàn,合影留念。,ảnh chụp chung giữ làm lưu niệm.
蹬,"đạp, giẫm",dēng,蹬水车,đạp guồng nước
甩,"quăng, ném",shuǎi,甩胳膊。,vung cánh tay.
移动,di động,yídòng,冷空气正向南移动。,không khí lạnh đang di chuyển về hướng nam.
利润,lợi nhuận,lìrùn,,
支出,chi tiêu,zhīchū,尽量控制非生产性的支出。,ra sức khống chế khoản chi mang tính chất phi sản xuất.
媒体,truyền thông,méitǐ,,
主张,chủ trương,zhǔzhāng,他主张马上动身。,anh ấy cho rằng cần phải đi ngay.
不言而喻,không nói cũng rõ,bù yán ér yù,,
时期,thời kỳ,shíqí,抗日战争时期。,thời kỳ chiến tranh kháng Nhật.
会计,kế toán,kuàijì,,
效益,lợi ích,xiàoyì,经济效益。,lợi ích kinh tế.
翻,"xoay, lật, trở mình",fān,推翻,lật đổ
乡镇,làng và thị trấn,xiāngzhèn,,
派遣,"cử, phái, điều động",pàiqiǎn,派遣代表团访问各友好国家。,cử đoàn đại biểu đi thăm viếng các nước bằng hữu.
年度,năm,niándù,会计年度。,kế toán hằng năm.
备份,"dành riêng, dành trước",bèifèn,,
类似,"na ná, tương tự, giống",lèisì,找出犯错误的原因，避免再犯类似的错误。,"tìm ra nguyên nhân của sự sai lầm, để tránh những sai lầm tương tự."
公正,"công chính, công bằng chính trực",gōngzhèng,公正的评价,đánh giá công bằng
检验,"kiểm nghiệm, kiểm tra",jiǎnyàn,检验汽车机件。,kiểm tra máy xe hơi.
觉得,"nghĩ rằng, cảm thấy",juédé,游兴很浓，一点也不觉得疲倦。,"say mê vui chơi, không một chút gì cảm thấy mỏi mệt."
废话,lời vô ích,fèihuà,废话连篇,toàn những lời nói nhảm.
人为,con người làm ra,rénwéi,人为的障碍。,trở ngại do con người tạo nên.
报酬,thù lao,bàochóu,,
肚子,bụng,dùzi,猪肚子,món bao tử lợn
壶,"bình, ấm",hú,茶壶,ấm trà
工夫,thời gian,gōngfū,他三天工夫就学会了游泳。,nó học ba ngày là biết bơi.
老板,ông chủ,lǎobǎn,,
极其,"cực kỳ, vô cùng",jíqí,劳动是极其光荣的事情。,lao động là việc làm vô cùng vẻ vang.
曲折,"quanh co, khúc khuỷu, xảo tra, ngoằn ngèo",qūzhé,沿着池塘有一条曲折的小路。,men theo bờ ao có một con đường nhỏ ngoằn ngoèo.
侦探,trinh thám,zhēntàn,侦探小说,tiểu thuyết trinh thám.
企图,"mưu đồ, ý đồ",qìtú,敌军逃跑的企图，没有得逞。,mưu đồ chạy trốn của quân địch đã không thực hiện được.
慷慨,"hào phóng, hùng hồn",kāngkǎi,慷慨陈词。,thuyết trình hùng hồn.
粉碎,"vỡ nát, vỡ tan tành",fěnsuì,粉碎性骨折,xương gãy nát
活跃,"sống động, hoạt bát",huóyuè,他是文体活跃分子。,anh ấy là người hoạt động văn thể sôi nổi.
心眼儿,"nội tâm, trong lòng",xīnyǎn er,大妈看到这未来的儿媳妇，打心眼儿里高兴。,"bà mẹ nhìn thấy cô con dâu tương lai, trong lòng cảm thấy vui mừng."
薄,mỏng,báo,薄 板,ván mỏng
个体,"cá thể, cá nhân, đơn lẻ",gètǐ,,
顺序,trật tự,shùnxù,顺序前进。,tiến lên theo thứ tự.
塑料袋,túi nhựa,sùliào dài,,
开阔,"mở mang, mở rộng",kāikuò,开阔的广场。,quảng trường rộng lớn.
生病,"ốm, bệnh",shēngbìng,,
对立,sự đối lập,duìlì,对立面,mặt đối lập; các mặt đối lập
宁愿,"thà, thà rằng",nìngyuàn,宁愿牺牲，也不退却。,thà hy sinh chứ không chịu rút lui.
乐谱,"bản nhạc, nhạc phổ",yuèpǔ,,
痕迹,"vết tích, dấu vết",hénjī,车轮的痕迹。,vết bánh xe
挥,vẫy,huī,挥手,vung tay; khua tay; vẫy tay.
正式,chính thức,zhèngshì,正式比赛,thi đấu chính thức
声明,"tuyên bố, thanh minh",shēngmíng,,
沉着,"bình tĩnh, vững vàng",chénzhuó,沉着指挥。,bình tĩnh chỉ huy.
引起,"dẫn đến, dẫn tới, gây lên",yǐnqǐ,引起注意,gây sự chú ý; gợi sự chú ý.
牛仔裤,quần jean,niúzǎikù,,
消灭,"tiêu diệt, diệt vong",xiāomiè,许多古生物早已经消灭了。,rất nhiều sinh vật cổ đã bị diệt vong từ lâu.
好奇,hiếu kỳ,hàoqí,好奇心,tính hiếu kỳ
威信,uy rín,wēixìn,威信扫地,mất uy tín
先前,"trước, trước kia",xiānqián,吃饭以前要洗手。,trước khi ăn cơm phải rửa tay (trong câu này không thể dùng '先前').
醉,"say rượu, bia",zuì,醉汉,người say; thằng say; tên say; kẻ say
慌张,"hoang mang, rối loạn",huāngzhāng,神色慌张,thần sắc hoảng hốt; nét mặt hoảng hốt.
效果,hiệu quả,xiàoguǒ,,
品行,hạnh kiểm,pǐnxíng,品行端正。,phẩm hạnh đứng đắn.
包袱,gánh nặng,bāofu,思想包袱,gánh nặng về tư tưởng
窝,"tổ, ổ",wō,鸟窝,tổ chim; ổ chim
经营,kinh doanh,jīngyíng,经营农业。,kinh doanh nông nghiệp.
照相机,máy chụp ảnh,zhàoxiàngjī,,
到处,khắp nơi,dàochù,祖国到处是欣欣向荣的景象。,tổ quốc đâu đâu cũng phồn vinh.
纯粹,"tinh khiết, thuần khiết",chúncuì,陶器是用比较纯粹的黏土制成的。,đồ gốm được làm bằng đất sét tương đối thuần chất.
年龄,tuổi,niánlíng,,
发誓,thề,fāshì,指天发誓,giơ tay xin thề
发达,phát triển,fādá,肌肉发达,cơ bắp phát triển
适应,thích ứng,shìyìng,,
到底,cuối cùng,dàodǐ,一竿子到底,trực tiếp quán triệt đến cùng.
宁可,thà rằng,nìngkě,与其在这儿等车，宁可走着去。,ở đây đợi xe thì thà rằng đi bộ còn hơn.
舅舅,cậu,jiùjiu,,
井,"giếng, hầm, lò",jǐng,水井。,giếng nước.
隐瞒,che giấu,yǐnmán,隐瞒错误,che giấu sai lầm
做生意,"kinh doanh, buôn bán",zuò shēngyì,,
口头,"ngoài miệng, đầu lưỡi",kǒutóu,他只是口头上答应你。,anh ấy chỉ đồng ý với bạn ngoài miệng mà thôi.
幅,bức (tranh),fú,幅面,khổ vải
仿佛,"hình như, dường như",fǎngfú,他干起活来仿佛不知道什么是疲倦。,anh ấy mỗi khi làm việc dường như không biết đến mệt nhọc là gì.
破坏,phá hoại,pòhuài,破坏桥梁。,phá cầu.
喜欢,thích,xǐhuān,喜喜欢欢过春节。,ăn tết vui vẻ.
识别,phân biệt,shìbié,识别真伪.,phân biệt thật giả。
岛,đảo,dǎo,,
不得已,"bất đắc dĩ,bắt buộc phải",bùdéyǐ,万不得已,vạn bất đắc dĩ
稻谷,lúa,dàogǔ,,
被子,cái chăn,bèizi,,
成本,chi phí,chéngběn,,
色彩,màu,sècǎi,色彩鲜明。,màu sắc tươi sáng.
师傅,"thầy dạy, thợ cả",shīfu,老师傅。,bác thợ cả.
展览,triển lãm,zhǎnlǎn,展览馆,phòng triển lãm; nhà triển lãm
省,tỉnh,shěng,省钱。,tiết kiệm tiền.
光辉,"chói lọi, rực rỡ",guānghuī,太阳的光辉,ánh sáng mặt trời chói chang.
财产,tài sản,cáichǎn,国家财产,tài sản quốc gia
田野,đồng ruộng,tiányě,田野上一片碧绿。,trên cánh đồng trải dài một màu xanh ngắt.
严重,nghiêm trọng,yánzhòng,病情严重,bệnh tình nghiêm trọng
茶,trà,chá,面茶 。,món mì bột nấu đặc.
称心如意,vừa lòng đẹp ý,chènxīn rúyì,,
演出,"diễn xuất, buổi diễn",yǎnchū,,
抱怨,"oán hận, phàn nàn",bàoyuàn,这只能怪自己，不能抱怨别人,"việc này cô chỉ có thể trách mình, chứ không thể oán trách người khác được."
课题,"tên bài, đầu đề",kètí,科研课题。,môn khoa học nghiên cứu.
简陋,"thô sơ, sơ sài",jiǎnlòu,,
支票,chi phiếu,zhīpiào,我要把这张旅行支票换成现金。,Tôi muốn đổi tờ séc du lịch này thành tiền mặt.
反映,phản ánh,fǎnyìng,这部小说反映了现实的生活和斗争。,bộ tiểu thuyết này phản ánh cuộc sống và đấu tranh hiện thực.
家常,"việc thường ngày, chuyện nhà",jiācháng,家常话。,nói chuyện nhà.
折磨,"dằn vặt, giày vò",zhémó,受折磨,bị hành hạ
采取,"lấy, áp dụng",cǎiqǔ,采取紧急措施。,áp dụng biện pháp khẩn cấp
患者,người bị bệnh,huànzhě,肺结核患者,người bị bệnh lao phổi
去年,năm ngoái,qùnián,,
投资,đầu tư,tóuzī,投资一百万元,đầu tư 1.000.000 đồng
值班,"trực ban, ca trực",zhíbān,,
显得,"lộ ra, hiện ra, tỏ ra",xiǎnde,节日的天安门显得更加壮丽。,Thiên An Môn vào những ngày lễ càng thêm tráng lệ。
掉,rơi,diào,掉眼泪,rơi nước mắt
规定,quy định,guīdìng,规定产品的质量标准。,quy định tiêu chuẩn chất lượng sản phẩm.
典礼,nghi lễ,diǎnlǐ,,
抬,"giơ lên, khiêng, nhấc",tái,抬手,giơ tay lên
滞留,"ngưng lại, dừng lại",zhìliú,滞留一夜,ngưng lại một đêm
念,"nhỡ, suy nghĩ, đọc",niàn,惦念。,tưởng nhớ.
引导,hướng dẫn,yǐndǎo,主人引导记者参观了几个主要车间。,người chủ hướng dẫn nhà báo đi xem mấy phân xưởng chính.
纠纷,"tranh chấp, bất hòa",jiūfēn,调解纠纷。,hoà giải tranh chấp.
最,nhất,zuì,中国是世界上人口最多的国家。,Trung Quốc là một quốc gia có dân số đông nhất trên thế giới.
答案,câu trả lời,dá'àn,寻求答案,tìm câu trả lời; tìm lời giải.
亿,một trăm triệu,yì,,
摇晃,"đong đưa, lung lay",yáohuàng,,
呕吐,nôn mửa,ǒutù,,
灵魂,linh hồn,línghún,纯结的灵魂。,tâm hồn trong trắng.
丝绸,lụa,sī chóu,,
对比,so sánh,duìbǐ,古今对比,so sánh xưa và nay
恳切,"tha thiết, khẩn thiết",kěnqiè,恳切地希望得 到大家的帮助。,tha thiết hy vọng được sự giúp đỡ của mọi người.
履行,"thuực hiện, thực thi",lǚxíng,履行诺言。,thực hiện lời hứa.
奶奶,bà nội,nǎinai,,
标点,chấm câu,biāodiǎn,,
新陈代谢,"thay cũ đổi mới, chỉ sự phát triển liên tục",xīnchéndàixiè,,
秘密,bí mật,mìmì,秘密文件。,văn kiện bí mật.
对付,"đương đầu, đối phó",duìfù,学了几个月的文化，看信也能对付了。,"học văn hoá mấy tháng, có thể đọc được thư rồi."
揭发,"vạch trần, tố giác, lột trần",jiēfā,揭发罪行。,vạch trần tội lỗi.
电影,phim,diànyǐng,,
局势,"thế cuộc, tình hình",júshì,,
摩擦,"ma sát, sung đột",mócā,,
奔驰,"chạy nhanh, chạy băng băng",bēnchí,列车奔驰。,đoàn tàu chạy băng băng
功能,"công nằn, tác dụng",gōngnéng,功能齐全,có đầy đủ công hiệu.
飞机,máy bay,fēijī,直升飞机,máy bay lên thẳng.
不见得,"chưa chắc, không nhất thiết",bùjiàn dé,这雨不见得下得起来,chưa chắc mưa nổi đâu
怀孕,có thai,huáiyùn,怀孕的妇女。,phụ nữ có mang.
鲜明,tươi sáng,xiānmíng,主题鲜明。,chủ đề nổi bật
吼,"gào lên, gào to",hǒu,牛吼,bò rống
恍然大悟,bỗng nhiên tỉnh ngộ,huǎngrándàwù,,
奉献,"kính dâng, hiến dâng",fèngxiàn,把青春奉献给祖国。,đem tuổi thanh xuân hiến dâng cho tổ quốc.
完成,hoàn thành,wánchéng,论文不久就可以完成。,luận văn không bao lâu nữa sẽ có thể hoàn thành.
镜子,gương,jìngzi,,
煤炭,than đá,méitàn,,
胳膊,cánh tay,gēbo,,
分析,phân tích,fēnxī,化学分析,hoá phân tích
着,đang,zhe,高着儿。,nước cờ cao
任重道远,gánh nặng đường xa,rènzhòngdàoyuǎn,,
阐述,trình bày,chǎnshù,,
小说,tiểu thuyết,xiǎoshuō,,
救济,cứu tế,jiùjì,救济费。,tiền cứu tế.
简单,đơn giản,jiǎndān,情节简单。,tình tiết đơn giản.
记载,"ghi lại, ghi chép",jìzǎi,忠实地记载事实。,ghi chép lại sự việc một cách trung thực.
欢乐,sự vui mừng,huānlè,广场上欢乐的歌声此起彼伏。,tiếng hát trên quảng trường vang lên từng hồi rộn rã.
传播,"truyền bá, phổ biến",chuánbò,传播花粉。,truyền phấn hoa.
相辅相成,bổ trợ cho nhau,xiāngfǔxiāngchéng,,
每,mỗi,měi,把节省下来的每一分钱都用在生产上。,từng đồng xu tiết kiệm đã dùng hết vào trong sản xuất.
正负,tích cực và tiêu cực,zhèng fù,,
柔和,dịu dàng,róuhé,声音柔和。,âm thanh dịu ngọt.
吃亏,"chịu thiệt, bị thiệt hại",chīkuī,决不能让群众吃亏。,quyết không thể để cho quần chúng chịu thiệt.
人,người,rén,男人。,con trai; đàn ông.
若干,"bao nhiêu, một số",ruògān,,
挺,rất,tǐng,笔挺,thẳng; thẳng tắp
领悟,"lĩnh hội, hiểu ý",lǐngwù,我说的那些话， 他好像还未领悟过来。,"tôi nói những lời này, anh ấy dường như chưa hiểu lắm."
第一,đầu tiên,dì yī,他考了第一名。,anh ấy thi đỗ hạng nhất
买,mua,mǎi,买票。,mua vé.
话题,chủ đề,huàtí,话题转了,đã chuyển trọng tâm câu chuyện.
逻辑,logic,luójí,这几句话不合逻辑。,mấy câu nói này không hợp lô-gích.
熄灭,dập tắt,xímiè,,
厨房,nhà bếp,chúfáng,,
问候,thăm hỏi sức khỏe,wènhòu,,
发明,phát minh,fāmíng,发明指南针,phát minh ra kim chỉ nam
爽快,"sảng khoái, dễ chịu",shuǎngkuài,谈了这许多话，心里倒爽快了些。,"nói ra được những điều này, trong lòng thấy nhẹ nhõm một chút."
安全,an toàn,ānquán,安全操作。,thao tác an toàn.
逐渐,dần dần,zhújiàn,影响逐渐扩大,ảnh hưởng dần dần lan rộng.
直,thẳng,zhí,笔直,thẳng tắp
瓶子,"chai,lọ",píngzi,,
专题,"chủ đề đặc biệt,chuyên đề",zhuāntí,专题报告,báo cáo chuyên đề
配偶,"vơ, chồng, phối ngẫu",pèi'ǒu,,
拟定,"định ra, vạch ra",nǐdìng,拟定远景规划。,vạch ra kế hoạch trong tương lai.
大使馆,đại sứ quán,dàshǐ guǎn,越南社会主义共和国驻中国大使馆。,đại sứ quán nước Cộng hoà xã hội chủ nghĩa Việt Nam tại Trung Quốc.
政策,chính sách,zhèngcè,民族政策,chính sách dân tộc
贬低,"chê bai, hạ thấp",biǎndī,,
四,"bốn, số bốn",sì,,
火车站,trạm xe lửa,huǒchē zhàn,,
环节,"mắt xích, phân đoạn, đốt, mấu",huánjié,主要环节,khâu quan trọng
吸收,hấp thụ,xīshōu,海绵吸收水,miếng bọt biển hút nước
泄气,"nhụt chí, nản lòng",xièqì,大家再加把劲儿，别泄气!。,"mọi người phải hăng hái lên nữa, đừng nhụt chí!"
风景,phong cảnh,fēngjǐng,风景区,khu phong cảnh
犬,chó,quǎn,警犬。,chó nghiệp vụ.
虐待,"hành hạ, ngược đãi",nüèdài,,
并列,"dđặt cạnh nhau, đặt ngang nhau",bìngliè,这是并列的两个分句,đây là hai phân câu đồng đẳng
手套,găng tay,shǒutào,,
颇,"rất, tương đối, khá",pō,偏颇。,nghiêng lệch.
昂贵,đắt tiền,ángguì,,
题目,"đề mục, tiêu đề",tímù,考试题目,đề thi
正义,chính nghĩa,zhèngyì,伸张正义,giương cao chính nghĩa
野蛮,dã man,yě mán,,
改革,cải cách,gǎigé,技术改革,cải cách kỹ thuật
马上,ngay lập tức,mǎshàng,快进去吧，电影马上就要开演了。,"vào nhanh lên, phim chiếu liền bây giờ."
影子,"bóng, hình bóng",yǐngzi,树影子,bóng cây
监视,"giám thị, theo dõi",jiānshì,了望哨远远监视着敌人。,chòi gác theo dõi bọn địch từ phía xa.
皆,"toàn là, đều là",jiē,皆大欢喜。,đều vui mừng.
起哄,"đùa bỡn, giỡn cợt",qǐhòng,,
分钟,phút,fēnzhōng,,
删除,xóa bỏ,shānchú,,
过于,"quá chừng, quá đáng",guòyú,过于劳累,quá mệt mỏi
爱护,"yêu quý, bảo vệ",àihù,爱护公物。,bảo vệ của công
